"","log2FoldChange","padj"
"IGHG2",-23.3544889429905,0.000186752822250836
"LOC107987373",-23.0436109169711,0.0149030297143237
"RPL3P4",-21.6022692983739,0.0017797353185169
"TBC1D3K",-20.9597995760087,0.0400036856805661
"TBC1D3C",-20.6082504972215,0.00764999303606349
"FCAMR",-11.4353496632227,0.000725644636092315
"SAA1",-10.5117550687698,8.47919517288651e-05
"CLRN3",-10.014936278779,0.0183618854299442
"ADH1C",-9.96363526472707,0.000186752822250836
"CYP1A2",-9.87987288413985,0.000131034770808606
"SAA2",-9.8745842629538,0.000186752822250836
"CYP26A1",-9.4339760266407,0.000617577505938923
"CRYAA",-9.08426379019846,0.0294106720513571
"CYP3A4",-8.96824865827231,0.000290479424421596
"HSD11B1",-8.69082722059006,0.000305202592245511
"CYP2A7",-8.37353158431401,0.037383931651805
"TTC36",-8.26924659753291,0.00328332211445921
"CYP2C19",-8.14723232743967,0.00569793292010969
"TRPM8",-8.09186919359782,0.000290479424421596
"LINC01093",-8.02986370343537,0.0497503760985788
"HSD17B13",-7.8705561326579,0.000725644636092315
"C3P1",-7.70854808733303,0.0350911161729643
"SLC22A1",-7.68563373020763,0.00738646290142516
"GRIA3",-7.60098767795808,0.025200443885888
"CYP2C8",-7.37927050850965,0.0363896460065416
"ACADL",-7.37927017713735,0.00870607504568481
"CHI3L1",-7.37708018127492,0.00870607504568481
"DAO",-7.3311133529213,0.000994572692870596
"CYP1A1",-7.30738735498423,0.0345197117634499
"HAMP",-7.28920639911365,0.0315987085162508
"GLYAT",-7.04759553746533,0.0167313769657627
"TMEM92",-7.03997342207339,0.0383704042725636
"SDS",-7.03577398132088,0.00451041740538311
"LINC01018",-6.99025701422066,0.0203426509934849
"AVPR1A",-6.95849937588334,0.00714244843102406
"TRIM55",-6.83459548985508,0.0278739909034616
"CFHR4",-6.80885081519371,0.0250882739507292
"SLC1A1",-6.80368103144275,0.00416886264615154
"ADH1B",-6.72438257818979,0.0233862518383676
"GNMT",-6.70626377923218,0.0123000093413751
"NNMT",-6.69585117495863,0.00870607504568481
"PAPPA2",-6.63804890354257,0.0153636664650739
"SLC10A1",-6.56988825655741,0.0383704042725636
"AKR7A3",-6.56776891381271,0.0144043666272382
"PON1",-6.53012633032968,0.0154772231348126
"TDO2",-6.52329957303547,0.00709723523573414
"CFAP57",-6.5125890927781,0.00508412873938507
"AR",-6.44325845960796,0.0149030297143237
"HP",-6.4082226820327,0.0149030297143237
"SLC28A1",-6.40735141084843,0.00508412873938507
"FMO3",-6.30402360642561,0.0126801505911193
"CYP3A43",-6.29337751002438,0.015581351512431
"GBA3",-6.17928721668341,0.043052886603923
"OGDHL",-5.89530478276923,0.0202106954857977
"HPX",-5.69601012810134,0.0461529420506618
"NECAB2",-5.64036549408662,0.0153636664650739
"UGT2B7",-5.62837421842258,0.0150183880589049
"C6",-5.57255290013709,0.0318918737826106
"CDA",-5.56039328451696,0.0149030297143237
"SUSD4",-5.518584621909,0.0192188381025705
"BCO2",-5.32809784172029,0.0255470618413486
"AKR7L",-5.05709018598469,0.0342017557703391
"SAMD12",-5.04146423590916,0.0461529420506618
"GPAT3",-4.87841658465435,0.0109812084046999
"GHR",-4.79840168925329,0.0314978194853017
"CA2",-4.65481108514238,0.00973388962819424
"TMPRSS2",-4.65450443900195,0.00738646290142516
"C1R",-4.63986908773551,0.0461529420506618
"BLNK",-4.47413692219682,0.0491802665006818
"SLC41A2",-4.35884691552077,0.0407863288441403
"ECHDC3",-4.35664389795737,0.0194990347647062
"C1S",-4.31403180434642,0.0318918737826106
"FMO4",-4.19669931627817,0.0315987085162508
"KCNK1",-4.10856683124395,0.0407863288441403
"CD14",-4.06115600503715,0.0149030297143237
"SERPING1",-4.02385165219978,0.0149030297143237
