"","log2FoldChange","padj"
"MYH4",-6.34107610738771,0.0152328976957851
"FGF14-IT1",-6.09436881710317,0.00316434759626849
"LINC02153",-5.81508676011093,0.00114870859321037
"CYP2A7",-5.65268303475187,0.00243708138127348
"HAO2-IT1",-5.02481036664949,0.00913909898317461
"PRSS22",-4.95547717563979,0.00609499510355202
"CYP2B7P",-4.89336267462493,0.00867222237660094
"CLRN3",-4.7949900236326,0.00110160750310786
"LOC101929427",-4.74921035460051,0.00134014267086283
"LOC102467222",-4.69306581152078,0.023292599285064
"NPTX2",-4.67462686785021,0.00129562849945607
"CYP26A1",-4.66662215186222,0.0030130606963555
"HPGD",-4.57684448895551,0.00156681769954169
"MUC5B",-4.57328447288662,0.00455413837877394
"FCAMR",-4.48237395980526,0.000246699706461626
"BBOX1",-4.41434019285703,0.00193934262828482
"LINC02160",-4.32824731760122,0.00156681769954169
"HORMAD2",-4.12468115032438,0.00841982832862505
"GSTA2",-4.08386629160518,0.00344251770050143
"CLRN1-AS1",-4.05470227601228,0.00316602531947215
"CYP2C19",-3.92992998895983,0.0406938017531664
"GABRA2",-3.88203326248101,0.000429597719191981
"CXCL3",-3.79749902888198,0.019548980119929
"HRG",-3.68649010196445,0.0102319280963504
"CNDP1",-3.60963685967,0.00833322653793309
"GPR88",-3.50409341299019,0.039639469479739
"SEC14L3",-3.44728907862491,0.00110160750310786
"CXCL2",-3.42395552788756,0.0167455457140954
"CADM2",-3.33987313445946,0.0380392638809498
"SLC3A1",-3.294180202529,0.00741615897538084
"RND1",-3.27116922818021,0.0449753044251096
"CYP2G1P",-3.20973403574573,0.0102319280963504
"USP2",-3.03546941714732,0.0119122591921923
"LINC01767",-3.02944660815157,0.00780425475739624
"PALM2",-3.007922914733,0.0137652685776743
"ZG16",-2.94280519035863,0.0395687269711763
"LRRC55",-2.85650235008444,0.019004995335965
"LINC01586",-2.65663927362172,0.036336216722483
"LOC107986115",-2.6401020635003,0.0250112700891202
