"","log2FoldChange","padj"
"REG3A",25.6215733592044,1.39061986424157e-10
"DUSP9",24.1449000711154,1.24657597054488e-06
"CYP11B1",21.7969595034115,2.8655039269586e-05
"LOC105379695",21.2118892367386,1.24657597054488e-06
"SST",20.4257521407099,0.000208944617305537
"UGT1A7",20.0911125794224,2.66619033987816e-05
"XIST",12.4690203701085,0.00245496265017445
"TMCO6",10.2481322810138,0.0254927049003311
"SMLR1",9.42003766108487,0.0360011646210652
"CEBPA",8.97500672927968,0.0415418219160437
"SPINK1",8.93590742572334,0.0435308465183936
"RHBG",8.6755797789298,0.0244615179778976
"FGFR4",7.55023391208972,0.00944898704232672
"TSG101",7.31085252415886,0.0415418219160437
