gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
TSPAN6,0.71118,17.77474,23.40654,134.73086,0.26557,84.98888,0.92032,176.37298,243.0921,21.27843,48.62896,40.053,4.03972
TNMD,0,0,0.11362,0,0,0,0,0,0,0,0,0,0.5771
DPM1,0.71118,35.89574,0,8.43952,0,21.45939,4.14144,7.38735,0.35028,3.9948,0,9.70609,2.30841
SCYL3,3.41367,36.81911,11.13515,9.44422,1.32787,15.39741,5.24582,17.64756,5.42929,4.40243,15.25614,11.79475,15.00466
C1orf112,0,1.96215,0.68174,21.90256,1.59344,6.54693,7.36256,14.26169,0,0.57069,0.47675,9.95182,13.85046
FGR,0,1.96215,2.8406,6.43011,0,3.39471,36.81278,41.75905,13.6608,42.55685,60.07107,3.80872,0.5771
CFH,580.0389,1148.54836,1810.14344,365.81288,4.24918,102.68984,519.42826,11.69664,539.42628,1241.81229,74.69154,13.39195,109.07234
FUCA2,40.39506,6.92522,57.15286,8.8414,0.26557,0.36372,1.19642,1.74424,3.32763,47.28539,46.88086,147.68007,15.87031
GCLC,6.96957,25.50791,367.68716,1.90894,0,2.54603,2.66893,4.7197,13.13538,43.37212,32.4193,23.95808,11.8306
NFYA,0,36.242,48.06294,1.50706,0,2.30355,7.27052,0,0.35028,0,2.86053,27.39822,27.70091
STPG1,4.69379,0,0.34087,0.50235,1.0623,5.69826,10.39961,25.34271,0.70055,0.65221,8.26374,0.24572,2.59696
NIPAL3,0.14224,0.23084,1.81798,0.50235,0.26557,9.94164,13.2526,57.35456,1.40111,3.17954,8.58158,0,6.63668
LAS1L,0.56894,82.75642,0,0.40188,0,15.76113,48.1327,90.90544,0.17514,0.81527,76.28072,30.3469,6.92523
ENPP4,0,10.84952,77.60517,6.1287,0,0,9.01913,1.84684,0,5.70686,11.12427,7.37172,5.19392
SEMA3F,0,19.15979,3.06785,10.24799,0,0,23.65221,31.39624,0.17514,5.2177,0.47675,3.31727,5.48247
CFTR,0,20.89109,2.95422,9.44422,0.53115,3.39471,19.32671,1.12862,101.05486,173.81459,0,2.70296,118.59453
ANKIB1,31.86089,166.78247,3.18147,18.6875,70.11151,14.18502,0.82829,6.15612,68.30398,89.27156,0.47675,11.54902,77.33171
CYP51A1,1202.60639,655.58785,8.86267,28.73455,38.77379,403.36377,66.07893,7.90036,149.39306,138.02444,5.87997,78.38593,78.48591
KRIT1,7.11181,54.47843,0.79537,41.89617,30.80657,20.24699,1.28845,7.90036,20.14092,74.43373,10.64752,24.94098,28.27801
RAD52,11.37889,0,0,0.30141,4.51476,9.09296,5.61395,0,0,16.54989,0,32.43556,40.68571
BAD,1.13789,0.23084,14.77112,0.30141,1.59344,2.18231,0,215.46437,6.48012,18.50653,3.17836,6.26596,4.61682
LAP3,10.09876,234.76508,37.49591,34.6623,0,59.89231,12.42431,80.95304,0.70055,45.65486,50.69489,19.65791,14.13901
CD99,2.84472,51.24666,0.34087,455.73393,0,67.40915,52.27414,392.14515,215.94565,67.5855,29.87661,80.47458,8.65653
HS3ST1,0,7.84859,0.11362,1.30612,5.57705,73.71361,0.09203,1.23122,0,164.76514,3.4962,0.12286,1.44276
AOC1,0.42671,1.61589,0,0,0,0.24248,0.2761,2.46245,0,0.32611,0.47675,13.14623,0.5771
WNT16,0,0.23084,0.11362,4.52117,3.98361,1.69735,0,0,0,0,0,10.44327,1.1542
HECW1,0,0,0,0,0.26557,3.15223,0.73626,2.56505,0,0,0,0,6.34813
MAD1L1,4.40932,0.11542,37.95041,14.06586,17.79345,0,122.77061,6.97694,2.2768,15.08241,0.95351,25.1867,15.00466
LASP1,10.80995,0.80794,43.85885,33.15525,78.34431,156.76265,21.99563,20.41781,15.93759,164.43904,3.4962,38.57865,75.31185
SNX11,0,15.00465,0,7.03293,1.0623,13.57882,0.18406,1.12862,7.88123,41.49701,5.87997,13.8834,2.59696
TMEM176A,296.98902,213.52773,7.72643,2.51176,30.80657,67.40915,556.4251,333.45676,665.52593,84.05386,347.87186,3.80872,10.38784
M6PR,1.70683,44.43685,36.58692,38.48018,2.65574,94.80928,46.01597,7.28475,9.63261,3.17954,26.2215,71.25993,28.56656
KLHL13,0,2.53925,0.11362,0,0,0.6062,0.09203,1.84684,4.37846,10.10929,17.32208,0.73717,0
CYP26B1,0.14224,0,0,7.33434,0.53115,0,0,0,0,0,2.38377,2.45724,0
ICA1,0.56894,0.11542,27.72425,60.88509,13.54427,0.84868,26.78129,64.3315,0,10.02776,0.47675,222.38014,19.33293
DBNDD1,0,0,0.34087,0,0,9.69916,0.73626,2.25725,2.80221,7.33739,15.57398,0.12286,2.59696
ALS2,126.44791,35.43406,32.49645,14.36727,49.66232,2.66727,2.11673,3.79628,54.2929,15.08241,8.89942,0.12286,28.27801
CASP10,7.11181,1.73131,0.22725,1.50706,24.4328,0.48496,13.06854,34.6795,0,22.50133,33.53173,9.21465,7.79088
CFLAR,223.31071,62.21159,277.92423,180.04303,133.84925,17.33725,66.263,5.33531,246.94515,225.33936,48.94679,296.58876,70.98358
TFPI,62.15718,514.31328,233.04276,237.6126,93.21645,3.15223,201.82604,64.53671,100.70458,51.93241,478.82042,80.106,42.12847
NDUFAF7,0.42671,2.65467,0,2.91364,4.24918,2.18231,0.18406,60.02222,0,41.08938,4.92646,17.69212,7.50233
RBM5,0.42671,36.58827,11.02152,9.44422,0,0,41.04624,138.71801,3.32763,146.42167,4.60863,160.21199,71.84924
MTMR7,0,4.73224,11.47602,0,0.53115,0,0,1.43643,0.17514,0,0,0,1.44276
SLC7A2,43.38202,44.43685,1740.03745,2.91364,140.22303,5.69826,93.41242,12.72266,40.45697,47.04081,172.10837,57.74512,135.33049
ARF5,1.5646,36.47285,3.86321,119.15795,10.88853,83.41277,89.36301,19.9048,47.98792,27.55597,36.23334,96.5695,7.50233
SARM1,0,1.26962,29.20136,1.20565,14.87214,0.12124,0.18406,287.59363,3.32763,42.55685,1.11243,0.9829,9.52219
POLDIP2,17.63728,181.78712,23.52016,52.94792,20.18362,15.15494,139.88855,204.17814,30.29894,93.91858,41.00089,98.1667,14.42756
PLXND1,3.98261,18.23642,5.79482,125.28664,0,0.36372,97.64589,141.79608,402.11777,220.5293,7.78699,35.38424,33.47193
AK2,792.11295,13.38877,17.72534,281.31724,2.92131,159.0662,209.37266,647.41913,20.31605,161.2595,7.31024,119.42182,5.48247
CD38,0.14224,26.66211,0.11362,0,0,9.09296,0,7.18215,0,0.24458,0,0,5.48247
FKBP4,266.26602,71.90691,23.29291,34.56183,10.62296,128.87757,4.6016,24.21409,0.70055,44.8396,0,100.25536,67.23242
KDM1A,44.0932,9.92615,7.15831,63.49732,20.98034,142.33515,0.09203,1616.49579,0,55.43805,6.9924,131.83088,6.92523
RBM6,0.99565,26.08501,12.83951,123.77959,0,0.72744,480.40672,101.88387,236.08657,538.23823,4.44971,67.8198,44.72543
CAMKK1,2.13354,0.69252,0,3.11458,0.26557,1.57611,0.09203,0.1026,5.07901,0.32611,21.93071,1.59721,2.30841
RECQL,1.42236,9.81073,1.13624,20.69691,0.79672,0.12124,0,18.36577,0,0,22.7253,0,10.96494
VPS50,38.68822,39.70462,0.22725,22.90726,18.05903,6.54693,32.02711,6.56653,0,35.54557,1.27135,21.13226,15.87031
HSPB6,0,0,1.81798,13.36257,0.53115,74.44104,0,8.92638,10.85858,1.46748,14.14372,2.08865,21.64134
ARHGAP33,0,0,0,0.10047,6.90492,4.72834,0,4.7197,0,0.40763,0.31784,1.47434,4.03972
NDUFAB1,0.99565,39.70462,0.11362,2.31082,0.79672,0.36372,36.44465,15.80072,5.42929,0.08153,31.4658,22.72946,1.73131
PDK4,22.18883,328.60187,14.43024,351.04373,74.09512,119.42089,15.18527,37.34716,11.73427,208.30032,105.0449,0.73717,86.56535
SLC22A16,0,0,0.11362,0,0,0,0.18406,1.94944,1.40111,0.08153,0,0,0.28855
ZMYND10,0,0,0.56812,0.20094,0,0.12124,0.09203,0.2052,0,9.53861,0,0.24572,0
ABCB5,0,0,0,0.10047,1.0623,0,0,0,0,0.48916,0.15892,0,2.88551
ARX,0,0,0,0,0,0,0,0.1026,0,0.24458,0,0.12286,0
SLC25A13,91.60006,199.10018,1.36349,11.65457,23.63608,47.64712,46.20003,11.18363,10.68344,12.47356,71.98993,2.82582,15.87031
ST7,0.71118,58.63356,35.5643,108.60855,13.80984,29.70367,21.16735,5.0275,2.80221,9.53861,0.47675,2.08865,6.92523
CDC27,6.40063,242.72909,71.01498,3.51647,23.10493,141.60772,32.11915,1.12862,84.59185,86.98882,26.69825,102.34401,45.01398
SLC4A1,0,1.03878,0.56812,11.35316,2.92131,29.09748,20.89125,0.1026,0.35028,0.16305,0.31784,0.36859,21.92989
CALCR,0,0.23084,0,0.10047,0,0,0,0.1026,0,0.08153,0,0,0.86565
HCCS,0.14224,18.35184,0.34087,19.99362,0,24.2479,0,2.15464,0.17514,0.40763,0.63567,0.12286,2.01986
DVL2,2.98696,0.80794,0,42.39853,5.31148,0.6062,0.18406,10.87582,0,23.80575,10.17076,20.51795,21.92989
PRSS22,0,0,0,0,0,0,1.74861,0,0,2.69038,0,0,0
UPF1,1.99131,0.80794,12.38501,22.60585,19.91804,79.77558,31.19883,115.73515,3.15249,29.51261,72.78452,41.28162,37.2231
SKAP2,1.99131,2.19299,55.56212,2.81317,7.96722,1.09116,8.74303,12.41485,0,18.18042,0.31784,10.56613,32.31773
SLC25A5,16.49939,71.90691,38.29128,45.51311,0.26557,250.84449,5.70598,158.10981,115.24107,75.249,182.27913,21.6237,14.42756
MCUB,0,0,0,2.41129,1.0623,0,0,0.51301,0,6.92976,0,0,0
HOXA11,0,0,0,0,0,0,0,0,0,0,0,0,1.44276
POLR2J,4.69379,45.2448,0,3.81788,2.39017,63.16577,26.78129,443.13839,7.53095,22.82743,102.02546,0.24572,2.01986
DHX33,0.14224,8.65653,15.22561,0.70329,19.65247,0.24248,0.2761,16.10853,10.68344,0.97832,27.33392,24.08094,16.44742
MEOX1,0,0.11542,0,0.50235,0,0.12124,0,0.2052,0,5.29923,0.79459,0.12286,0.28855
THSD7A,3.27143,4.73224,32.61008,17.6828,3.18689,0,11.50399,0.1026,0,27.71902,0.15892,0,19.91003
LIG3,83.91931,63.25038,16.5891,6.02823,34.52461,0.6062,5.42988,6.56653,21.19175,1.63053,15.57398,109.34714,90.60506
RPAP3,18.63293,19.96773,20.45231,0.60282,0,11.03279,1.01235,28.42078,16.98843,9.04945,0.31784,43.73886,28.56656
ACSM3,2.56025,45.2448,42.60899,5.92776,11.68525,4.48586,3.86534,2.35985,27.32159,1.63053,170.51919,145.71428,3.17406
LOC81691,0,0.92336,0.34087,0.20094,2.65574,0.84868,0.09203,0.61561,0.35028,0.08153,7.94591,14.98916,2.30841
CIAPIN1,0.56894,0.23084,0,12.25739,3.18689,2.30355,1.28845,18.98139,0.87569,0.32611,3.4962,2.21152,9.81074
SPPL2B,0,4.38598,1.13624,12.86022,6.63935,88.38358,0.64422,15.69812,1.05083,11.25066,90.58335,43.00168,18.17872
FAM214B,0.14224,0,11.58964,1.60753,1.32787,26.43021,22.08767,17.03195,0,8.31571,3.4962,0,5.77102
COPZ2,2.41801,6.2327,0.79537,9.44422,0.26557,8.97172,0.46016,1.53903,90.54655,0.24458,0.63567,0.12286,1.1542
PRKAR2B,0,39.35835,6.02207,52.04369,1.0623,8.24428,0,0.1026,0.35028,0.16305,0,0.49145,0.86565
MSL3,0,6.00186,0.22725,26.32326,0,24.61162,0.18406,11.79924,0.17514,14.02257,20.34152,0.49145,14.71611
CREBBP,6.6851,1.1542,0.79537,80.87871,102.24596,24.12666,8.19084,300.5215,0.17514,34.56725,142.70851,256.4129,107.34103
TSPOAP1,0.14224,0,4.65858,21.19926,5.84263,147.54845,0.2761,62.27946,0,2.20122,14.30263,41.03589,23.08409
