genes	GSE89775
ENSG00000172016	25.5887445585858
ENSG00000130829	24.152604471425
ENSG00000244122	21.3451500646389
ENSG00000157005	21.282508211499
ENSG00000231968	19.9574814051999
ENSG00000229807	12.5998636460488
ENSG00000113119	10.3150048951888
ENSG00000223654	9.92768173268785
ENSG00000164266	9.59570598720098
ENSG00000256162	9.57353838236067
ENSG00000196756	9.4527194077974
ENSG00000177989	9.23437860840741
ENSG00000250506	9.18605189092911
ENSG00000272196	9.17515655925121
ENSG00000206468	9.15254395379242
ENSG00000245848	9.1155448839776
ENSG00000215262	9.0504869345514
ENSG00000232838	8.92843626460442
ENSG00000274512	8.91707995398828
ENSG00000139910	8.82522828671799
ENSG00000081051	8.81760465081812
ENSG00000225828	8.77124589242496
ENSG00000119547	8.73400611988628
ENSG00000132677	8.67686190953157
ENSG00000149474	8.52678122407182
ENSG00000158062	8.49958266408974
ENSG00000149948	8.47354633873621
ENSG00000180089	8.46043628183478
ENSG00000172724	8.40695930560217
ENSG00000167670	8.21035578493516
ENSG00000198746	8.2098938836192
ENSG00000140368	8.18765913744347
ENSG00000174498	8.17901989442749
ENSG00000213337	8.14671431982607
ENSG00000169750	8.1036798346045
ENSG00000171004	8.09284856781185
ENSG00000272273	8.07709244890066
ENSG00000278167	8.07376064034776
ENSG00000070047	8.01172444261343
ENSG00000107833	8.01082496982075
ENSG00000138755	8.0042961631258
ENSG00000067365	7.97380847470683
ENSG00000131697	7.96141540589519
ENSG00000236178	7.9436637633407
ENSG00000100802	7.93908789496419
ENSG00000231852	7.92920803405128
ENSG00000261150	7.92803502551477
ENSG00000228913	7.81579184633163
ENSG00000101189	7.77976941800159
ENSG00000223494	7.75771472869882
ENSG00000070950	7.75208494980985
ENSG00000206476	7.73792070723058
ENSG00000242252	7.72024424566415
ENSG00000148200	7.7142260644838
ENSG00000234032	7.70960568876346
ENSG00000168890	7.69762565493235
ENSG00000228315	7.69180234605635
ENSG00000129646	7.68484743751726
ENSG00000256537	7.66405928585595
ENSG00000160867	7.66022636783886
ENSG00000136367	7.65566770064028
ENSG00000101473	7.65053680768844
ENSG00000125871	7.63881189441629
ENSG00000183615	7.60741410832653
ENSG00000064547	7.60650024687869
ENSG00000157766	7.5917917111297
ENSG00000177511	7.58455273969644
ENSG00000181392	7.58229738937642
ENSG00000229005	7.57504785245422
ENSG00000275095	7.56995529399528
ENSG00000168612	7.55824447432711
ENSG00000230985	7.51361080159938
ENSG00000276194	7.49804934919543
ENSG00000204934	7.46015061330781
ENSG00000187243	7.42693103474088
ENSG00000074319	7.41834055740675
ENSG00000168243	7.40617582054035
ENSG00000282972	7.40617582054035
ENSG00000171840	7.39580718820272
ENSG00000213397	7.38372467220747
ENSG00000267165	7.34913639013658
ENSG00000242038	7.34229354413489
ENSG00000141524	7.31160980809965
ENSG00000131652	7.30238675294405
ENSG00000132953	7.29859935706975
ENSG00000196126	7.29764115611485
ENSG00000140104	7.2873161165327
ENSG00000275349	7.27277250201409
ENSG00000275395	7.268041354264
ENSG00000150630	7.23423149943717
ENSG00000232414	7.22358775781668
ENSG00000127586	7.18996688816113
ENSG00000166145	7.18580136725721
ENSG00000167900	7.11161716931043
