,tissue
GSM2807391,Normal liver
GSM2807392,Hepatoblastoma
GSM2807393,Normal liver
GSM2807394,Hepatoblastoma
GSM2807395,Normal liver
GSM2807396,Normal liver
GSM2807397,Normal liver
GSM2807398,Hepatoblastoma
GSM2807399,Hepatoblastoma
GSM2807400,Hepatoblastoma
GSM2807401,Normal liver
GSM2807402,Hepatoblastoma
GSM2807403,Normal liver
GSM2807404,Hepatoblastoma
GSM2807405,Normal liver
GSM2807406,Hepatoblastoma
GSM2807407,Normal liver
GSM2807408,Hepatoblastoma
GSM2807409,Normal liver
GSM2807410,Hepatoblastoma
GSM2807411,Normal liver
GSM2807412,Hepatoblastoma
GSM2807413,Normal liver
GSM2807414,Hepatoblastoma
GSM2807415,Normal liver
GSM2807416,Hepatoblastoma
GSM2807417,Normal liver
GSM2807418,Hepatoblastoma
GSM2807419,Normal liver
GSM2807420,Hepatoblastoma
GSM2807421,Normal liver
GSM2807422,Normal liver
GSM2807423,Normal liver
GSM2807424,Hepatoblastoma
GSM2807425,Hepatoblastoma
GSM2807426,Hepatoblastoma
GSM2807427,Normal liver
GSM2807428,Hepatoblastoma
GSM2807429,Normal liver
GSM2807430,Hepatoblastoma
GSM2807431,Normal liver
GSM2807432,Hepatoblastoma
GSM2807433,Normal liver
GSM2807434,Hepatoblastoma
GSM2807435,Normal liver
GSM2807436,Hepatoblastoma
GSM2807437,Normal liver
GSM2807438,Normal liver
GSM2807439,Hepatoblastoma
GSM2807440,Hepatoblastoma
GSM2807441,Normal liver
GSM2807442,Hepatoblastoma
GSM2807443,Normal liver
GSM2807444,Hepatoblastoma
GSM2807445,Normal liver
GSM2807446,Hepatoblastoma
GSM2807447,Normal liver
GSM2807448,Hepatoblastoma
GSM2807449,Normal liver
GSM2807450,Hepatoblastoma
