"","tissue"
"GSM4575754","Normal"
"GSM4575755","Normal"
"GSM4575756","Normal"
"GSM4575757","Normal"
"GSM4575758","Normal"
"GSM4575759","Normal"
"GSM4575760","Normal"
"GSM4575761","Normal"
"GSM4575762","Normal"
"GSM4575763","Normal"
"GSM4575764","Normal"
"GSM4575765","Hepatoblastoma"
"GSM4575766","Hepatoblastoma"
"GSM4575767","Hepatoblastoma"
"GSM4575768","Hepatoblastoma"
"GSM4575769","Hepatoblastoma"
"GSM4575770","Hepatoblastoma"
"GSM4575771","Hepatoblastoma"
"GSM4575772","Hepatoblastoma"
"GSM4575773","Hepatoblastoma"
"GSM4575774","Hepatoblastoma"
"GSM4575775","Hepatoblastoma"
