type,value
control,5.055243085
control,4.782392145
control,4.045797638
case,10.87719458
case,8.789533311
case,9.857568581
case,7.473049015
case,9.649930433
case,6.420126273
case,6.929279954
case,9.348953239
case,10.81529154
case,9.666697737
control,149.0
case,393.0
control,104.0
case,90.0
control,327.0
case,2099.0
control,253.0
case,1529.0
control,244.0
case,1366.0
control,166.0
case,5786.0
control,74.0
case,4479.0
control,125.0
case,2897.0
control,80.0
control,64.0
control,85.0
case,9166.0
case,8088.0
case,4336.0
control,153.0
case,848.0
control,85.0
case,8448.0
control,155.0
case,3714.0
control,201.0
case,315.0
control,223.0
case,1503.0
control,150.0
case,5736.0
control,226.0
case,6512.0
control,186.0
case,426.0
control,231.0
case,1993.0
control,92.0
case,311.0
control,574.0
control,149.0
case,352.0
case,162.0
control,2840.0
case,7122.0
control,279.0
case,872.0
control,414.0
control,315.0
control,140.0
case,4690.0
case,2764.0
case,3914.0
control,197.0
case,2304.0
control,50.0
case,1554.0
case,5510.0
case,18829.0
control,60.0
control,121.0
control,176.0
control,125.0
control,97.0
control,76.0
control,119.0
control,91.0
control,121.0
control,64.0
control,263.0
case,2224.0
case,1470.0
case,1050.0
case,345.0
case,3140.0
case,920.0
case,2682.0
case,3216.0
case,2580.0
case,916.0
case,3409.0
