Expression,Study
32069.060965786448,Study A
78.13381598914007,Study A
1564.7148080324043,Study A
70823.4599507733,Study A
199.36666421165364,Study A
10.492492007305442,Study A
6.96349885923153,Study A
1.723312147353559,Study A
152.10112996721207,Study A
1.0789570671577733,Study A
0.18999136968178437,Study A
986.1459527294024,Study A
316.8205451256225,Study A
3.1301571556080843,Study A
1887.3024103903585,Study A
0.983311691909512,Study A
0.26661003911954884,Study A
30.13136810332629,Study A
208.29334543634414,Study A
316.02294751392554,Study A
507.46299275491833,Study A
375.82728195451267,Study A
1762.7707021088079,Study A
4.881921281424955,Study A
563.1862434732712,Study A
10.656714170314508,Study A
243.5377823567752,Study A
764.0558398904292,Study A
108.64297514890738,Study A
240.42914330958507,Study A
413.15256976365237,Study A
4.519951408826318,Study A
416.27051107457044,Study A
109.84533128692966,Study A
3.6729365597002914,Study A
2663.1128240023772,Study A
638.3573878015643,Study A
125.80319014785361,Study A
34.06359721649514,Study A
5.161299272923976,Study A
13.308994398070773,Study A
3.5349310142082215,Study A
633.7884133204282,Study A
58.72350681095282,Study A
66.92074499345196,Study A
416.6748884526723,Study A
735.8477443095898,Study A
260.77910643408825,Study A
632.4020356151974,Study A
468.1432634354617,Study A
1.3367026768779164,Study A
369.3782297608897,Study A
128.7353095148953,Study A
233.86697306030663,Study A
1462.6118329895196,Study A
5.450918675560335,Study A
919.8785573892851,Study A
324.8041296713196,Study A
513.2665259203497,Study A
57.446600126050505,Study A
192.92545648859212,Study A
264.2734464531417,Study A
45.96936636781669,Study A
0.157817389897765,Study A
4.407071925679217,Study A
4139.836240073457,Study A
1857.383975423464,Study A
58.85656674525861,Study A
495.53573692381724,Study A
1026.8437534146005,Study A
474.9593256277762,Study A
62.317413999213116,Study A
18.40193338225225,Study A
289.5851243594218,Study A
460.08887143479365,Study A
1.8342274002526548,Study A
700.738871776431,Study A
941.662101703831,Study A
435.29082042809904,Study A
182.12745766131314,Study A
628.8558100980315,Study A
953.6397632035577,Study A
295.4023360979383,Study A
237.37914075502994,Study A
5.6460589190702954,Study A
1374.5989293067637,Study A
641.2161779513865,Study A
60.20894908080281,Study A
517.4518627025911,Study A
260.64914757025235,Study A
934.9365788184125,Study A
232.03566969434735,Study A
117.41676449507537,Study A
465.65600581312174,Study A
84.22003966275675,Study A
2380.887606159135,Study A
313.4344940713947,Study A
121.47786792757613,Study A
1241.2363641079055,Study A
100.84791861850906,Study A
74.46086532262474,Study A
235.92617326706664,Study A
2037.033573215415,Study A
359.4283415977738,Study A
692.4468803484226,Study A
166.12415546830778,Study A
503.9584119349589,Study A
269.39799533497575,Study A
288.6884757767573,Study A
609.1642952134507,Study A
187.16035079597196,Study A
129.9829924827141,Study A
837.4650720449015,Study A
488.28204514859925,Study A
1593.781777508788,Study A
80.51684886033374,Study A
3208.17181156312,Study A
11.029405563119095,Study A
140.3044177572109,Study A
2.19235188766678,Study A
132.58561850991202,Study A
484.2662178386752,Study A
499.07444300439965,Study A
255.54255847816958,Study A
7095.592479817004,Study A
6001.518274377727,Study A
492.00206823687193,Study A
1345.066929846758,Study A
778.1835336365624,Study A
1692.4667849752284,Study A
402.79898231170705,Study A
658.6146487564569,Study A
175.7282331596464,Study A
548.5881754861417,Study A
2612.609017223117,Study A
2874.4523828899514,Study A
20650.480535866296,Study A
63.528604470428,Study A
274.9871662999294,Study A
123.75478965836555,Study A
1415.9750102060889,Study A
4327.5860462762585,Study A
1861.430181625689,Study A
233.64399543176742,Study A
731.6661662293056,Study A
214.32964460207435,Study A
508.72138860103007,Study A
18.030476721383774,Study A
534.955368177025,Study A
303.63487883007707,Study A
84.905072609204,Study A
74.43216379132072,Study A
1.6684773004218596,Study A
6.03323017730691,Study A
159.54126093754155,Study A
130.75342758559012,Study A
3037.5589595331858,Study A
133.3661769562796,Study A
144.96253045574255,Study A
401.0773158875569,Study A
9.948489835821539,Study A
1270.0568535167445,Study A
672.7885490056595,Study A
1517.494092412878,Study A
1544.6829588366459,Study A
536.5079498333292,Study A
149.18560610811147,Study A
950.4414188496924,Study A
1426.4275240850416,Study A
1392.0749872284841,Study A
154.15588081301885,Study A
6.0889284141090725,Study A
464.6536903376812,Study A
437.9805818841694,Study A
509.93534837751224,Study A
2003.9618152648006,Study A
1836.0111630229246,Study A
395.4297873869615,Study A
17.047152223635543,Study A
992.9060501374416,Study A
1328.6816547488713,Study A
742.893900858102,Study A
428.92515225820654,Study A
