Expression,Study
23772.098970551015,Study A
73.81588222537303,Study A
1332.8389227281184,Study A
64801.36761184908,Study A
170.10180350754578,Study A
9.528974019732258,Study A
8.327374956556968,Study A
2.1926571072907053,Study A
165.88921233653923,Study A
1.462786374784969,Study A
0.2643358186877,Study A
1070.1942629075315,Study A
349.6719380385022,Study A
3.3199873015906713,Study A
1404.5397580924055,Study A
1.3489001902872675,Study A
0.35175006466644926,Study A
23.280962778034283,Study A
159.2435099972097,Study A
305.07436086732923,Study A
494.36009929190556,Study A
365.78743085647795,Study A
1764.9784385652454,Study A
6.080923469034397,Study A
574.8708897090185,Study A
8.055167303088997,Study A
258.8029579405235,Study A
792.9234796651451,Study A
103.20075204747184,Study A
245.7284645176849,Study A
389.4188203203597,Study A
4.734188465963114,Study A
436.4733980950399,Study A
125.71246203910883,Study A
4.631229474281889,Study A
2084.9505959205403,Study A
573.5143139634437,Study A
90.93026383969679,Study A
42.02911177340944,Study A
7.0661732261667956,Study A
13.092823353005373,Study A
4.407692393451987,Study A
639.1978510368251,Study A
62.21178813604524,Study A
78.2607301896909,Study A
377.16721410218616,Study A
607.6542144723188,Study A
290.7437428019568,Study A
537.3002455511804,Study A
390.56672225517787,Study A
1.5752711110114657,Study A
330.3286581826598,Study A
134.68238222721158,Study A
197.15392372012735,Study A
1297.673885862784,Study A
6.3569493224763045,Study A
993.2354598078579,Study A
335.5012338649043,Study A
476.18088451418515,Study A
64.5168982234661,Study A
212.64244079646224,Study A
303.0855735491887,Study A
38.62794127420201,Study A
0.21957202072732523,Study A
3.100205569511138,Study A
3623.252966153494,Study A
1407.9147950186984,Study A
62.20766966829622,Study A
562.0013089503927,Study A
980.8262422402486,Study A
511.35534313730534,Study A
65.06444647402068,Study A
19.328447870199323,Study A
238.1049261799324,Study A
469.74154112661705,Study A
0.3351905310948216,Study A
703.830247401259,Study A
1003.6589569581932,Study A
420.9901138158564,Study A
178.0091073016105,Study A
632.0946414106554,Study A
916.4350922777618,Study A
275.16666299808077,Study A
175.68771714371206,Study A
6.527653310992012,Study A
1346.4602565798489,Study A
639.8196961417352,Study A
60.89177391131566,Study A
505.08211236336143,Study A
250.43471591791567,Study A
974.4025852179402,Study A
287.7682570924653,Study A
93.22423309642494,Study A
489.3981902237021,Study A
84.71483983887633,Study A
2073.3078841112833,Study A
268.311233471251,Study A
119.68471321001401,Study A
1302.8241147004017,Study A
99.950423344648,Study A
86.1735185689555,Study A
228.72866511429524,Study A
1691.7444430482592,Study A
383.4921271825653,Study A
728.0555910677592,Study A
132.6307087593433,Study A
453.34397837444743,Study A
274.26470481345837,Study A
299.26272865890047,Study A
687.592120878987,Study A
169.6209823300058,Study A
154.00784461574912,Study A
924.7309105548794,Study A
506.2408511218801,Study A
1452.7824248393113,Study A
91.07133717257982,Study A
2405.3482527997917,Study A
13.34623512233038,Study A
157.79442858797776,Study A
2.5769069014980857,Study A
123.76913660431113,Study A
488.2717404375672,Study A
452.52364223894966,Study A
237.29907961876467,Study A
6191.583920348666,Study A
5232.717327738519,Study A
521.8530387607929,Study A
1114.9406516784702,Study A
772.2031422267954,Study A
1533.0316918345418,Study A
376.89449631159385,Study A
651.885817706591,Study A
123.93880323176998,Study A
441.89165304214595,Study A
2057.7715131327172,Study A
2587.1383265806444,Study A
19675.397105284148,Study A
77.02479958824856,Study A
239.87276771410407,Study A
125.5204641594747,Study A
1538.4175644161448,Study A
3460.8205466825393,Study A
1680.195977690549,Study A
246.55845549747178,Study A
662.8500750005117,Study A
189.1928316115484,Study A
544.4199194976691,Study A
18.654333040343296,Study A
487.35941246749326,Study A
331.05768961873434,Study A
99.19593485920036,Study A
56.00440678217619,Study A
1.597808556664562,Study A
6.689212759179473,Study A
160.1432472487272,Study A
133.14536458626083,Study A
3176.2885912137995,Study A
148.53269880796432,Study A
132.9580345014206,Study A
401.62799776099973,Study A
11.626927447991182,Study A
1413.8160959628406,Study A
478.8854108071472,Study A
1280.722203551867,Study A
1441.3686284926066,Study A
452.73179289938815,Study A
149.9361644209937,Study A
866.5378798953515,Study A
1292.7052775577483,Study A
1201.741558823897,Study A
124.70482086140576,Study A
3.4622946587992787,Study A
480.3669412491196,Study A
448.3076504868309,Study A
505.4498895838763,Study A
1648.4199057819114,Study A
1520.2308611663843,Study A
373.03873783949246,Study A
16.275442801809543,Study A
1069.0391898900866,Study A
1254.9249737647606,Study A
640.6351558065717,Study A
459.5125053018552,Study A
17.361653950865257,Study A
