Expression,Study
287.7682570924653,Study A
123.93880323176998,Study A
203.27619526904581,Study A
20.731605431828186,Study A
0.3953687825425075,Study A
11.667957155668898,Study A
1721.2447058542361,Study A
27564.358313079858,Study A
264.09299717811615,Study A
587.6308082132412,Study A
42230.531487324915,Study A
6.18652703762513,Study A
171.11761370949068,Study A
14.989011089979362,Study A
47.441303596451306,Study A
214.91742622109817,Study A
3152.3726517139485,Study A
9.320207486251716,Study A
972.3719669690239,Study A
49.95364650546332,Study A
6.552932343537985,Study A
24.927978453919398,Study A
966.4279469576155,Study A
933.5340378382153,Study A
2.1690080949176154,Study A
83.06683674758357,Study A
80.48872813903272,Study A
14.993391565286379,Study A
524.5959679145777,Study A
51.85077709249173,Study A
0.06863118226264565,Study A
4.165173085605372,Study A
2.12848529542029,Study A
45.16188494124925,Study A
2024.0588265045033,Study A
135.3921563963338,Study A
4.936044293729096,Study A
70.5351302391262,Study A
82.07935563998808,Study A
48.003204350756,Study A
15.025390306794527,Study A
34.51672427808571,Study A
135.35587618411722,Study A
121.36320195231893,Study A
353.34723970002796,Study A
270.9613630100845,Study A
946.0928130591586,Study A
181.8077129735874,Study A
9.219285986046748,Study A
27.250498535540167,Study A
0.7975310692278604,Study A
129.33534593085977,Study A
44.251550777238265,Study A
89.90774675594507,Study A
147.24713274478643,Study A
3707.097278772284,Study A
1011.6948405329556,Study A
22.619145091199357,Study A
9.1151442967464,Study A
21.17404032824685,Study A
46.75540836866668,Study A
880.8165867998413,Study A
69.41321857861534,Study A
22804.52799719867,Study A
14.400589002480102,Study A
7.141611055580505,Study A
1360.7282405723638,Study A
108.6620620640532,Study A
70.48990693870611,Study A
0.3338967600462413,Study A
21.362258130996956,Study A
409.16490878990345,Study A
555.2649823650344,Study A
27.71122285087815,Study A
12.606249916591695,Study A
9399.550230552577,Study A
1249.5834031015531,Study A
8828.501324560055,Study A
841.4960622787097,Study A
667.0246383549269,Study A
6362.9801040029915,Study A
52.963173322204916,Study A
15620.829791648746,Study A
334.64800989586865,Study A
14.009042517294048,Study A
762.95314998874,Study A
38.72181224237543,Study A
131.92179956010474,Study A
102.36274438043371,Study A
28.883582953325572,Study A
1217.21615865174,Study A
795.2641995859211,Study A
14829.227463305235,Study A
27.216775799855682,Study A
6.118018685273329,Study A
59.45245583349537,Study A
28.21300379676335,Study A
111.52952172716995,Study A
59.9429079659128,Study A
94.37695659381473,Study A
1429.286853046358,Study A
35.69066366114064,Study A
153.47230066116802,Study A
180.76021086592218,Study A
2036.0099284874238,Study A
15.61984877381335,Study A
35.483709371215944,Study A
8.727913424333538,Study A
133.23277820835784,Study A
35.56972128755392,Study A
321.91145686113015,Study A
49.023389674301164,Study A
6.916274982047056,Study A
2175.4002785556363,Study A
36.99665822651307,Study A
12.76772256165204,Study A
274.04953214769387,Study A
86.41944394759273,Study A
39.350406970928944,Study A
4.089500563016926,Study A
833.3242427453355,Study A
2.328132762846162,Study A
34.58128197988579,Study A
328.84672601886507,Study A
55.066197515203896,Study A
39.209348116388966,Study A
287.5947752894666,Study A
60.71174278675216,Study A
45.446660600689704,Study A
