T,NT,Study
23772.098970551015,32069.060965786448,Study A
73.81588222537303,78.13381598914007,Study A
1332.8389227281184,1564.7148080324043,Study A
64801.36761184908,70823.4599507733,Study A
170.10180350754578,199.36666421165364,Study A
9.528974019732258,10.492492007305442,Study A
8.327374956556968,6.96349885923153,Study A
2.1926571072907053,1.723312147353559,Study A
165.88921233653923,152.10112996721207,Study A
1.462786374784969,1.0789570671577733,Study A
0.2643358186877,0.18999136968178437,Study A
1070.1942629075315,986.1459527294024,Study A
349.6719380385022,316.8205451256225,Study A
3.3199873015906713,3.1301571556080843,Study A
1404.5397580924055,1887.3024103903585,Study A
1.3489001902872675,0.983311691909512,Study A
0.35175006466644926,0.26661003911954884,Study A
23.280962778034283,30.13136810332629,Study A
159.2435099972097,208.29334543634414,Study A
305.07436086732923,316.02294751392554,Study A
494.36009929190556,507.46299275491833,Study A
365.78743085647795,375.82728195451267,Study A
1764.9784385652454,1762.7707021088079,Study A
6.080923469034397,4.881921281424955,Study A
574.8708897090185,563.1862434732712,Study A
8.055167303088997,10.656714170314508,Study A
258.8029579405235,243.5377823567752,Study A
792.9234796651451,764.0558398904292,Study A
103.20075204747184,108.64297514890738,Study A
245.7284645176849,240.42914330958507,Study A
389.4188203203597,413.15256976365237,Study A
4.734188465963114,4.519951408826318,Study A
436.4733980950399,416.27051107457044,Study A
125.71246203910883,109.84533128692966,Study A
4.631229474281889,3.6729365597002914,Study A
2084.9505959205403,2663.1128240023772,Study A
573.5143139634437,638.3573878015643,Study A
90.93026383969679,125.80319014785361,Study A
42.02911177340944,34.06359721649514,Study A
7.0661732261667956,5.161299272923976,Study A
13.092823353005373,13.308994398070773,Study A
4.407692393451987,3.5349310142082215,Study A
639.1978510368251,633.7884133204282,Study A
62.21178813604524,58.72350681095282,Study A
78.2607301896909,66.92074499345196,Study A
377.16721410218616,416.6748884526723,Study A
607.6542144723188,735.8477443095898,Study A
290.7437428019568,260.77910643408825,Study A
537.3002455511804,632.4020356151974,Study A
390.56672225517787,468.1432634354617,Study A
1.5752711110114657,1.3367026768779164,Study A
330.3286581826598,369.3782297608897,Study A
134.68238222721158,128.7353095148953,Study A
197.15392372012735,233.86697306030663,Study A
1297.673885862784,1462.6118329895196,Study A
6.3569493224763045,5.450918675560335,Study A
993.2354598078579,919.8785573892851,Study A
335.5012338649043,324.8041296713196,Study A
476.18088451418515,513.2665259203497,Study A
64.5168982234661,57.446600126050505,Study A
212.64244079646224,192.92545648859212,Study A
303.0855735491887,264.2734464531417,Study A
38.62794127420201,45.96936636781669,Study A
0.21957202072732523,0.157817389897765,Study A
3.100205569511138,4.407071925679217,Study A
3623.252966153494,4139.836240073457,Study A
1407.9147950186984,1857.383975423464,Study A
62.20766966829622,58.85656674525861,Study A
562.0013089503927,495.53573692381724,Study A
980.8262422402486,1026.8437534146005,Study A
511.35534313730534,474.9593256277762,Study A
65.06444647402068,62.317413999213116,Study A
19.328447870199323,18.40193338225225,Study A
238.1049261799324,289.5851243594218,Study A
469.74154112661705,460.08887143479365,Study A
0.3351905310948216,1.8342274002526548,Study A
703.830247401259,700.738871776431,Study A
1003.6589569581932,941.662101703831,Study A
420.9901138158564,435.29082042809904,Study A
178.0091073016105,182.12745766131314,Study A
632.0946414106554,628.8558100980315,Study A
916.4350922777618,953.6397632035577,Study A
275.16666299808077,295.4023360979383,Study A
175.68771714371206,237.37914075502994,Study A
6.527653310992012,5.6460589190702954,Study A
1346.4602565798489,1374.5989293067637,Study A
639.8196961417352,641.2161779513865,Study A
60.89177391131566,60.20894908080281,Study A
505.08211236336143,517.4518627025911,Study A
250.43471591791567,260.64914757025235,Study A
974.4025852179402,934.9365788184125,Study A
287.7682570924653,232.03566969434735,Study A
93.22423309642494,117.41676449507537,Study A
489.3981902237021,465.65600581312174,Study A
84.71483983887633,84.22003966275675,Study A
2073.3078841112833,2380.887606159135,Study A
268.311233471251,313.4344940713947,Study A
