	Size	liver_PPI
ClusterID:1	12	20
ClusterID:2	2	1
ClusterID:3	1	0
ClusterID:4	1	0
ClusterID:5	108	1883
ClusterID:6	1	0
ClusterID:7	4	3
ClusterID:8	48	745
ClusterID:9	1	0
ClusterID:10	1	0
ClusterID:11	1	0
ClusterID:12	9	33
ClusterID:13	1	0
ClusterID:14	5	9
ClusterID:15	30	191
ClusterID:16	50	452
ClusterID:17	2	1
ClusterID:18	1	0
ClusterID:19	92	1398
ClusterID:20	4	4
ClusterID:21	11	13
ClusterID:22	2	1
ClusterID:23	2	1
ClusterID:24	49	281
ClusterID:25	6	6
ClusterID:26	5	7
ClusterID:27	77	751
ClusterID:28	1	0
ClusterID:29	8	18
ClusterID:30	4	4
ClusterID:31	12	35
ClusterID:32	14	30
ClusterID:33	39	288
ClusterID:34	9	16
ClusterID:35	33	102
ClusterID:36	45	553
ClusterID:37	17	80
ClusterID:38	3	2
ClusterID:39	2	1
ClusterID:40	25	76
ClusterID:41	24	214
ClusterID:42	136	3140
ClusterID:43	4	3
ClusterID:44	67	1112
ClusterID:45	117	4970
ClusterID:46	2	1
ClusterID:47	57	994
ClusterID:48	24	198
ClusterID:49	34	479
ClusterID:50	2	1
ClusterID:51	9	33
ClusterID:52	3	2
ClusterID:53	5	4
ClusterID:54	17	43
ClusterID:55	53	584
ClusterID:56	10	25
ClusterID:57	7	8
ClusterID:58	2	1
ClusterID:59	47	538
ClusterID:60	5	6
ClusterID:61	25	212
ClusterID:62	1	0
ClusterID:63	17	105
ClusterID:64	11	24
ClusterID:65	2	1
ClusterID:66	2	1
ClusterID:67	8	10
ClusterID:68	3	2
ClusterID:69	2	1
ClusterID:70	6	8
ClusterID:71	2	1
ClusterID:72	24	100
ClusterID:73	78	866
ClusterID:74	25	107
ClusterID:75	2	1
ClusterID:76	18	110
ClusterID:77	45	720
ClusterID:78	12	66
ClusterID:79	2	1
ClusterID:80	7	7
ClusterID:81	5	4
ClusterID:82	10	11
ClusterID:83	2	1
ClusterID:84	45	485
ClusterID:85	2	1
ClusterID:86	17	80
ClusterID:87	11	28
ClusterID:88	4	4
ClusterID:89	10	21
ClusterID:90	5	4
ClusterID:91	3	2
ClusterID:92	3	2
ClusterID:93	39	478
ClusterID:94	3	3
ClusterID:95	66	911
ClusterID:96	2	1
ClusterID:97	90	2156
ClusterID:98	2	1
ClusterID:99	16	28
ClusterID:100	10	32
ClusterID:101	2	1
ClusterID:102	4	5
ClusterID:103	70	378
ClusterID:104	31	197
ClusterID:105	1	0
ClusterID:106	81	1347
ClusterID:107	2	1
ClusterID:108	2	1
ClusterID:109	12	44
ClusterID:110	47	604
ClusterID:111	18	68
ClusterID:112	3	2
ClusterID:113	5	4
ClusterID:114	12	41
ClusterID:115	3	3
ClusterID:116	4	3
ClusterID:117	14	42
ClusterID:118	6	8
ClusterID:119	6	8
ClusterID:120	50	408
ClusterID:121	1	0
ClusterID:122	2	1
ClusterID:123	2	1
ClusterID:124	2	1
ClusterID:125	13	37
ClusterID:126	28	252
ClusterID:127	2	1
ClusterID:128	21	97
ClusterID:129	2	1
ClusterID:130	10	45
ClusterID:131	10	13
ClusterID:132	3	2
ClusterID:133	4	3
ClusterID:134	108	1634
ClusterID:135	3	2
ClusterID:136	34	319
ClusterID:137	5	4
ClusterID:138	4	6
ClusterID:139	2	1
ClusterID:140	19	103
ClusterID:141	39	229
ClusterID:142	2	1
ClusterID:143	2	1
ClusterID:144	38	191
ClusterID:145	4	3
ClusterID:146	12	37
ClusterID:147	3	2
ClusterID:148	56	598
ClusterID:149	25	47
ClusterID:150	17	87
ClusterID:151	46	438
ClusterID:152	10	19
ClusterID:153	9	14
ClusterID:154	3	2
ClusterID:155	2	1
ClusterID:156	120	1981
ClusterID:157	13	38
ClusterID:158	66	653
ClusterID:159	27	140
ClusterID:160	5	7
ClusterID:161	32	120
ClusterID:162	5	6
ClusterID:163	5	4
ClusterID:164	2	1
ClusterID:165	2	1
ClusterID:166	57	477
ClusterID:167	6	5
