	Size	liver_PPI
ClusterID:1	3	2
ClusterID:2	1	0
ClusterID:3	1	0
ClusterID:4	1	0
ClusterID:5	1	0
ClusterID:6	1	0
ClusterID:7	1	0
ClusterID:8	1	0
ClusterID:9	26	135
ClusterID:10	2	1
ClusterID:11	2	1
ClusterID:12	3	2
ClusterID:13	1	0
ClusterID:14	1	0
ClusterID:15	59	913
ClusterID:16	2	1
ClusterID:17	1	0
ClusterID:18	2	1
ClusterID:19	33	140
ClusterID:20	129	1741
ClusterID:21	1	0
ClusterID:22	41	464
ClusterID:23	1	0
ClusterID:24	7	9
ClusterID:25	2	1
ClusterID:26	42	295
ClusterID:27	50	917
ClusterID:28	2	1
ClusterID:29	5	7
ClusterID:30	1	0
ClusterID:31	3	2
ClusterID:32	17	85
ClusterID:33	4	3
ClusterID:34	16	48
ClusterID:35	3	2
ClusterID:36	3	3
ClusterID:37	8	20
ClusterID:38	1	0
ClusterID:39	4	6
ClusterID:40	47	254
ClusterID:41	2	1
ClusterID:42	64	1461
ClusterID:43	39	281
ClusterID:44	38	285
ClusterID:45	2	1
ClusterID:46	6	6
ClusterID:47	3	2
ClusterID:48	2	1
ClusterID:49	19	117
ClusterID:50	108	1623
ClusterID:51	1	0
ClusterID:52	2	1
ClusterID:53	14	47
ClusterID:54	3	2
ClusterID:55	2	1
ClusterID:56	14	31
ClusterID:57	82	2041
ClusterID:58	9	19
ClusterID:59	16	39
ClusterID:60	1	0
ClusterID:61	19	67
ClusterID:62	21	71
ClusterID:63	53	243
ClusterID:64	1	0
ClusterID:65	1	0
ClusterID:66	50	462
ClusterID:67	5	7
ClusterID:68	38	481
ClusterID:69	4	3
ClusterID:70	5	4
ClusterID:71	3	3
ClusterID:72	10	25
ClusterID:73	56	855
ClusterID:74	22	197
ClusterID:75	1	0
ClusterID:76	35	280
ClusterID:77	36	268
ClusterID:78	12	22
ClusterID:79	1	0
ClusterID:80	16	17
ClusterID:81	19	104
ClusterID:82	22	59
ClusterID:83	18	118
ClusterID:84	9	28
ClusterID:85	3	2
ClusterID:86	3	2
ClusterID:87	9	9
ClusterID:88	49	786
ClusterID:89	29	109
ClusterID:90	3	2
ClusterID:91	27	74
ClusterID:92	17	48
ClusterID:93	2	1
ClusterID:94	2	1
ClusterID:95	6	9
ClusterID:96	7	6
ClusterID:97	18	27
ClusterID:98	3	2
ClusterID:99	17	52
ClusterID:100	2	1
ClusterID:101	3	2
ClusterID:102	53	756
ClusterID:103	79	880
ClusterID:104	4	3
ClusterID:105	15	88
ClusterID:106	68	672
ClusterID:107	28	102
ClusterID:108	2	1
ClusterID:109	2	1
ClusterID:110	16	41
ClusterID:111	3	2
ClusterID:112	22	100
ClusterID:113	54	476
ClusterID:114	3	2
ClusterID:115	2	1
ClusterID:116	4	3
ClusterID:117	5	4
ClusterID:118	13	61
ClusterID:119	3	2
ClusterID:120	1	0
ClusterID:121	45	448
ClusterID:122	10	13
ClusterID:123	5	6
ClusterID:124	3	2
ClusterID:125	18	53
ClusterID:126	22	72
ClusterID:127	42	256
ClusterID:128	1	0
ClusterID:129	2	1
ClusterID:130	26	54
ClusterID:131	28	252
ClusterID:132	54	120
ClusterID:133	42	344
ClusterID:134	8	15
ClusterID:135	12	20
ClusterID:136	3	2
ClusterID:137	24	103
ClusterID:138	6	5
ClusterID:139	11	16
ClusterID:140	5	5
ClusterID:141	131	3054
ClusterID:142	3	2
ClusterID:143	10	25
ClusterID:144	2	1
ClusterID:145	2	1
ClusterID:146	5	8
ClusterID:147	38	250
ClusterID:148	14	51
ClusterID:149	3	2
ClusterID:150	22	76
ClusterID:151	6	11
ClusterID:152	15	14
ClusterID:153	5	10
ClusterID:154	13	54
ClusterID:155	14	47
ClusterID:156	17	46
ClusterID:157	2	1
ClusterID:158	73	636
ClusterID:159	4	6
ClusterID:160	2	1
ClusterID:161	49	523
ClusterID:162	70	203
ClusterID:163	3	2
ClusterID:164	84	1162
ClusterID:165	6	6
ClusterID:166	34	464
ClusterID:167	5	5
ClusterID:168	3	2
ClusterID:169	6	9
ClusterID:170	2	1
ClusterID:171	5	6
ClusterID:172	3	2
ClusterID:173	13	41
ClusterID:174	3	2
ClusterID:175	31	148
ClusterID:176	123	932
ClusterID:177	2	1
ClusterID:178	2	1
ClusterID:179	7	15
ClusterID:180	34	126
ClusterID:181	2	1
ClusterID:182	16	44
ClusterID:183	4	3
ClusterID:184	2	1
ClusterID:185	53	556
ClusterID:186	4	3
ClusterID:187	3	2
ClusterID:188	1	0
ClusterID:189	2	1
ClusterID:190	2	1
ClusterID:191	6	6
ClusterID:192	6	8
ClusterID:193	51	687
ClusterID:194	21	51
ClusterID:195	100	1204
ClusterID:196	3	3
ClusterID:197	34	164
ClusterID:198	23	72
ClusterID:199	2	1
ClusterID:200	4	3
ClusterID:201	116	1703
ClusterID:202	1	0
ClusterID:203	17	27
ClusterID:204	4	3
ClusterID:205	43	486
ClusterID:206	13	26
ClusterID:207	2	1
ClusterID:208	129	1225
ClusterID:209	3	2
ClusterID:210	21	58
ClusterID:211	7	10
ClusterID:212	9	13
ClusterID:213	26	74
ClusterID:214	4	4
ClusterID:215	6	5
ClusterID:216	2	1
ClusterID:217	3	2
ClusterID:218	30	174
ClusterID:219	2	1
ClusterID:220	6	14
ClusterID:221	30	140
ClusterID:222	4	3
ClusterID:223	3	2
ClusterID:224	6	12
ClusterID:225	1	0
ClusterID:226	4	4
ClusterID:227	2	1
ClusterID:228	14	25
ClusterID:229	2	1
ClusterID:230	18	30
ClusterID:231	2	1
ClusterID:232	12	17
ClusterID:233	4	3
ClusterID:234	13	44
ClusterID:235	40	408
ClusterID:236	6	7
ClusterID:237	50	582
ClusterID:238	39	205
ClusterID:239	9	11
ClusterID:240	11	24
ClusterID:241	4	3
ClusterID:242	58	897
ClusterID:243	7	11
ClusterID:244	19	72
ClusterID:245	5	4
ClusterID:246	8	10
ClusterID:247	2	1
ClusterID:248	28	51
ClusterID:249	17	57
ClusterID:250	14	53
ClusterID:251	2	1
ClusterID:252	4	3
ClusterID:253	21	117
ClusterID:254	44	434
ClusterID:255	9	14
ClusterID:256	4	3
ClusterID:257	24	194
ClusterID:258	9	12
ClusterID:259	11	18
ClusterID:260	19	40
ClusterID:261	14	36
ClusterID:262	4	3
ClusterID:263	4	4
ClusterID:264	42	256
ClusterID:265	31	89
ClusterID:266	4	3
ClusterID:267	10	25
ClusterID:268	9	29
ClusterID:269	6	5
ClusterID:270	81	787
ClusterID:271	10	9
ClusterID:272	5	4
ClusterID:273	4	5
ClusterID:274	23	131
ClusterID:275	2	1
ClusterID:276	6	5
ClusterID:277	28	158
ClusterID:278	5	7
ClusterID:279	3	3
ClusterID:280	3	2
ClusterID:281	17	82
ClusterID:282	4	4
ClusterID:283	7	10
ClusterID:284	17	93
ClusterID:285	1	0
ClusterID:286	39	213
ClusterID:287	11	13
ClusterID:288	47	451
ClusterID:289	8	12
ClusterID:290	3	3
ClusterID:291	2	1
ClusterID:292	34	162
ClusterID:293	115	566
ClusterID:294	4	4
ClusterID:295	39	234
ClusterID:296	5	4
ClusterID:297	110	1900
ClusterID:298	5	4
ClusterID:299	12	24
ClusterID:300	2	1
ClusterID:301	17	23
ClusterID:302	22	122
ClusterID:303	11	33
ClusterID:304	8	11
ClusterID:305	3	2
ClusterID:306	12	17
ClusterID:307	3	2
ClusterID:308	6	11
ClusterID:309	9	11
ClusterID:310	9	16
ClusterID:311	4	5
ClusterID:312	93	1410
ClusterID:313	3	2
ClusterID:314	1	0
ClusterID:315	13	30
ClusterID:316	8	8
ClusterID:317	3	2
ClusterID:318	3	3
ClusterID:319	9	20
ClusterID:320	14	43
ClusterID:321	5	4
ClusterID:322	34	70
ClusterID:323	15	45
ClusterID:324	10	28
ClusterID:325	9	9
ClusterID:326	41	108
ClusterID:327	26	66
ClusterID:328	35	139
ClusterID:329	20	73
ClusterID:330	3	2
ClusterID:331	10	22
ClusterID:332	5	7
ClusterID:333	57	507
ClusterID:334	12	48
ClusterID:335	4	3
ClusterID:336	29	146
ClusterID:337	2	1
ClusterID:338	48	799
ClusterID:339	66	707
ClusterID:340	2	1
ClusterID:341	21	69
ClusterID:342	59	211
ClusterID:343	101	1928
ClusterID:344	4	4
ClusterID:345	3	2
ClusterID:346	4	3
ClusterID:347	4	3
ClusterID:348	4	3
ClusterID:349	3	2
ClusterID:350	42	455
ClusterID:351	11	14
ClusterID:352	1	0
ClusterID:353	2	1
ClusterID:354	7	12
ClusterID:355	38	292
ClusterID:356	12	18
ClusterID:357	5	7
ClusterID:358	9	9
ClusterID:359	1	0
ClusterID:360	4	4
ClusterID:361	93	966
ClusterID:362	11	33
ClusterID:363	10	25
ClusterID:364	13	52
ClusterID:365	76	344
ClusterID:366	31	154
ClusterID:367	4	3
ClusterID:368	4	5
ClusterID:369	42	204
ClusterID:370	5	9
ClusterID:371	37	185
ClusterID:372	2	1
ClusterID:373	2	1
ClusterID:374	7	9
ClusterID:375	49	669
ClusterID:376	18	102
ClusterID:377	2	1
ClusterID:378	2	1
ClusterID:379	6	10
ClusterID:380	2	1
ClusterID:381	3	2
ClusterID:382	57	611
ClusterID:383	2	1
ClusterID:384	16	51
ClusterID:385	4	3
ClusterID:386	7	7
ClusterID:387	10	14
ClusterID:388	3	3
ClusterID:389	70	550
ClusterID:390	5	5
ClusterID:391	4	4
ClusterID:392	6	6
ClusterID:393	4	3
ClusterID:394	48	385
ClusterID:395	12	20
ClusterID:396	5	4
ClusterID:397	8	8
ClusterID:398	2	1
ClusterID:399	23	150
ClusterID:400	18	100
ClusterID:401	8	8
ClusterID:402	4	3
ClusterID:403	5	4
ClusterID:404	25	66
ClusterID:405	15	26
ClusterID:406	47	246
ClusterID:407	7	14
ClusterID:408	2	1
ClusterID:409	53	602
ClusterID:410	5	4
ClusterID:411	1	0
ClusterID:412	6	8
ClusterID:413	7	7
ClusterID:414	4	3
ClusterID:415	18	38
ClusterID:416	34	74
ClusterID:417	2	1
ClusterID:418	9	14
ClusterID:419	5	8
ClusterID:420	18	31
ClusterID:421	18	52
ClusterID:422	79	173
ClusterID:423	29	60
ClusterID:424	93	640
ClusterID:425	2	1
ClusterID:426	32	144
ClusterID:427	32	164
ClusterID:428	13	26
ClusterID:429	3	3
ClusterID:430	12	12
ClusterID:431	3	2
ClusterID:432	13	23
ClusterID:433	11	25
ClusterID:434	4	4
ClusterID:435	71	139
ClusterID:436	39	259
ClusterID:437	21	41
ClusterID:438	123	353
ClusterID:439	5	5
ClusterID:440	2	1
ClusterID:441	10	11
ClusterID:442	4	3
ClusterID:443	6	7
ClusterID:444	12	14
ClusterID:445	6	8
ClusterID:446	1	0
ClusterID:447	3	2
ClusterID:448	4	3
ClusterID:449	13	37
ClusterID:450	2	1
ClusterID:451	2	1
ClusterID:452	8	15
ClusterID:453	21	48
ClusterID:454	9	8
ClusterID:455	41	267
ClusterID:456	21	99
ClusterID:457	2	1
ClusterID:458	18	23
ClusterID:459	2	1
ClusterID:460	17	61
ClusterID:461	17	21
ClusterID:462	3	3
ClusterID:463	5	4
ClusterID:464	14	41
ClusterID:465	8	7
ClusterID:466	2	1
ClusterID:467	3	3
ClusterID:468	3	2
ClusterID:469	7	9
ClusterID:470	3	2
ClusterID:471	4	3
ClusterID:472	2	1
ClusterID:473	25	42
ClusterID:474	8	13
ClusterID:475	4	3
ClusterID:476	12	40
ClusterID:477	3	2
ClusterID:478	2	1
ClusterID:479	20	48
ClusterID:480	2	1
ClusterID:481	2	1
ClusterID:482	3	2
ClusterID:483	11	14
ClusterID:484	10	10
ClusterID:485	2	1
ClusterID:486	6	9
ClusterID:487	2	1
ClusterID:488	13	15
ClusterID:489	7	7
ClusterID:490	4	4
ClusterID:491	36	278
ClusterID:492	6	7
ClusterID:493	42	174
ClusterID:494	4	3
ClusterID:495	3	2
ClusterID:496	32	203
ClusterID:497	2	1
ClusterID:498	27	84
ClusterID:499	17	61
ClusterID:500	18	74
ClusterID:501	31	217
ClusterID:502	14	44
ClusterID:503	3	2
ClusterID:504	34	92
ClusterID:505	57	890
ClusterID:506	4	4
ClusterID:507	21	29
ClusterID:508	39	196
ClusterID:509	6	7
ClusterID:510	13	22
ClusterID:511	11	23
ClusterID:512	2	1
ClusterID:513	11	18
ClusterID:514	2	1
ClusterID:515	13	23
ClusterID:516	50	392
ClusterID:517	52	442
ClusterID:518	75	1072
ClusterID:519	1	0
ClusterID:520	17	48
ClusterID:521	21	60
ClusterID:522	2	1
ClusterID:523	2	1
ClusterID:524	13	25
ClusterID:525	9	22
ClusterID:526	43	335
ClusterID:527	3	2
ClusterID:528	25	119
ClusterID:529	3	2
ClusterID:530	2	1
ClusterID:531	2	1
ClusterID:532	71	712
ClusterID:533	11	25
ClusterID:534	24	87
ClusterID:535	4	3
ClusterID:536	2	1
ClusterID:537	2	1
ClusterID:538	5	6
ClusterID:539	4	3
ClusterID:540	70	1194
ClusterID:541	11	43
ClusterID:542	3	3
ClusterID:543	2	1
ClusterID:544	10	17
ClusterID:545	4	3
ClusterID:546	60	162
ClusterID:547	3	3
ClusterID:548	12	15
ClusterID:549	3	2
ClusterID:550	64	583
ClusterID:551	8	7
ClusterID:552	16	52
ClusterID:553	3	2
ClusterID:554	35	263
ClusterID:555	23	47
ClusterID:556	9	12
ClusterID:557	2	1
ClusterID:558	21	76
ClusterID:559	2	1
ClusterID:560	3	2
ClusterID:561	16	34
ClusterID:562	2	1
ClusterID:563	3	2
ClusterID:564	26	134
ClusterID:565	9	8
ClusterID:566	7	7
ClusterID:567	4	4
ClusterID:568	14	19
ClusterID:569	20	45
ClusterID:570	20	62
ClusterID:571	3	2
ClusterID:572	2	1
ClusterID:573	2	1
ClusterID:574	35	156
ClusterID:575	5	7
ClusterID:576	9	8
ClusterID:577	6	6
ClusterID:578	35	125
ClusterID:579	11	12
ClusterID:580	3	2
ClusterID:581	5	4
ClusterID:582	2	1
ClusterID:583	6	7
ClusterID:584	5	4
ClusterID:585	9	10
ClusterID:586	25	26
ClusterID:587	2	1
ClusterID:588	11	19
ClusterID:589	4	3
ClusterID:590	7	7
ClusterID:591	23	31
ClusterID:592	3	2
ClusterID:593	57	634
ClusterID:594	16	47
ClusterID:595	7	7
ClusterID:596	2	1
ClusterID:597	115	4743
ClusterID:598	5	4
ClusterID:599	3	2
ClusterID:600	1	0
ClusterID:601	2	1
ClusterID:602	2	1
ClusterID:603	3	2
ClusterID:604	4	4
ClusterID:605	2	1
ClusterID:606	17	18
ClusterID:607	2	1
ClusterID:608	2	1
ClusterID:609	2	1
ClusterID:610	2	1
ClusterID:611	2	1
ClusterID:612	2	1
ClusterID:613	2	1
ClusterID:614	2	1
ClusterID:615	14	19
ClusterID:616	3	2
ClusterID:617	3	2
ClusterID:618	2	1
ClusterID:619	104	1656
ClusterID:620	6	5
ClusterID:621	3	2
ClusterID:622	5	5
ClusterID:623	3	2
ClusterID:624	4	3
ClusterID:625	14	54
ClusterID:626	2	1
ClusterID:627	8	13
ClusterID:628	53	818
ClusterID:629	114	1350
ClusterID:630	3	2
ClusterID:631	9	19
ClusterID:632	34	478
ClusterID:633	4	3
ClusterID:634	6	5
ClusterID:635	19	89
