	Size	liver_PPI
ClusterID:1	6	5
ClusterID:2	1	0
ClusterID:3	1	0
ClusterID:4	1	0
ClusterID:5	1	0
ClusterID:6	1	0
ClusterID:7	1	0
ClusterID:8	1	0
ClusterID:9	3	2
ClusterID:10	1	0
ClusterID:11	1	0
ClusterID:12	1	0
ClusterID:13	1	0
ClusterID:14	1	0
ClusterID:15	1	0
ClusterID:16	1	0
ClusterID:17	1	0
ClusterID:18	1	0
ClusterID:19	1	0
ClusterID:20	1	0
ClusterID:21	1	0
ClusterID:22	1	0
ClusterID:23	1	0
ClusterID:24	1	0
ClusterID:25	1	0
ClusterID:26	1	0
ClusterID:27	1	0
ClusterID:28	1	0
ClusterID:29	1	0
ClusterID:30	1	0
ClusterID:31	1	0
ClusterID:32	1	0
ClusterID:33	1	0
ClusterID:34	2	1
ClusterID:35	1	0
ClusterID:36	1	0
ClusterID:37	1	0
ClusterID:38	1	0
ClusterID:39	1	0
ClusterID:40	1	0
ClusterID:41	1	0
ClusterID:42	1	0
ClusterID:43	1	0
ClusterID:44	1	0
ClusterID:45	1	0
ClusterID:46	1	0
ClusterID:47	1	0
ClusterID:48	1	0
ClusterID:49	1	0
ClusterID:50	1	0
ClusterID:51	4	5
ClusterID:52	1	0
ClusterID:53	2	1
ClusterID:54	1	0
ClusterID:55	1	0
ClusterID:56	4	3
ClusterID:57	1	0
ClusterID:58	1	0
ClusterID:59	1	0
ClusterID:60	1	0
ClusterID:61	1	0
ClusterID:62	1	0
ClusterID:63	1	0
ClusterID:64	1	0
ClusterID:65	1	0
ClusterID:66	1	0
ClusterID:67	1	0
ClusterID:68	1	0
ClusterID:69	1	0
ClusterID:70	1	0
ClusterID:71	2	1
ClusterID:72	1	0
ClusterID:73	2	1
ClusterID:74	1	0
ClusterID:75	1	0
ClusterID:76	1	0
ClusterID:77	1	0
ClusterID:78	1	0
ClusterID:79	1	0
ClusterID:80	1	0
ClusterID:81	1	0
ClusterID:82	1	0
ClusterID:83	4	6
ClusterID:84	1	0
ClusterID:85	1	0
ClusterID:86	1	0
ClusterID:87	1	0
ClusterID:88	1	0
ClusterID:89	16	83
ClusterID:90	2	1
ClusterID:91	2	1
ClusterID:92	1	0
ClusterID:93	2	1
ClusterID:94	5	10
ClusterID:95	1	0
ClusterID:96	1	0
ClusterID:97	1	0
ClusterID:98	1	0
ClusterID:99	1	0
ClusterID:100	1	0
