Unnamed: 0,Size,liver_PPI,num_matches,matches
ClusterID:1,3,2,0, NaN
ClusterID:2,1,0,0, NaN
ClusterID:3,1,0,0, NaN
ClusterID:4,1,0,0, NaN
ClusterID:5,1,0,0, NaN
ClusterID:6,1,0,0, NaN
ClusterID:7,1,0,0, NaN
ClusterID:8,1,0,0, NaN
ClusterID:9,26,135,0, NaN
ClusterID:10,2,1,0, NaN
ClusterID:11,2,1,0, NaN
ClusterID:12,3,2,0, NaN
ClusterID:13,1,0,0, NaN
ClusterID:14,1,0,0, NaN
ClusterID:15,59,913,0, NaN
ClusterID:16,2,1,0, NaN
ClusterID:17,1,0,0, NaN
ClusterID:18,2,1,0, NaN
ClusterID:19,33,140,0, NaN
ClusterID:20,129,1741,2," ['CYP2A6', 'EDDM3A']"
ClusterID:21,1,0,0, NaN
ClusterID:22,41,464,0, NaN
ClusterID:23,1,0,0, NaN
ClusterID:24,7,9,0, NaN
ClusterID:25,2,1,0, NaN
ClusterID:26,42,295,0, NaN
ClusterID:27,50,917,0, NaN
ClusterID:28,2,1,0, NaN
ClusterID:29,5,7,0, NaN
ClusterID:30,1,0,0, NaN
ClusterID:31,3,2,0, NaN
ClusterID:32,17,85,0, NaN
ClusterID:33,4,3,0, NaN
ClusterID:34,16,48,1, ['TINAG']
ClusterID:35,3,2,0, NaN
ClusterID:36,3,3,0, NaN
ClusterID:37,8,20,0, NaN
ClusterID:38,1,0,0, NaN
ClusterID:39,4,6,0, NaN
ClusterID:40,47,254,0, NaN
ClusterID:41,2,1,0, NaN
ClusterID:42,64,1461,0, NaN
ClusterID:43,39,281,0, NaN
ClusterID:44,38,285,0, NaN
ClusterID:45,2,1,0, NaN
ClusterID:46,6,6,0, NaN
ClusterID:47,3,2,0, NaN
ClusterID:48,2,1,0, NaN
ClusterID:49,19,117,0, NaN
ClusterID:50,108,1623,1, ['FCAMR']
ClusterID:51,1,0,0, NaN
ClusterID:52,2,1,0, NaN
ClusterID:53,14,47,0, NaN
ClusterID:54,3,2,0, NaN
ClusterID:55,2,1,0, NaN
ClusterID:56,14,31,0, NaN
ClusterID:57,82,2041,0, NaN
