Unnamed: 0,Size,liver_PPI,num_matches,matches
ClusterID:629,114,1350,5," ['LZTS2', 'CEP250', 'LUZP1', 'CEP68', 'TACC1']"
ClusterID:540,70,1194,3," ['RUSC1', 'CUEDC1', 'ASPSCR1']"
ClusterID:158,73,636,3," ['GNG4', 'GNA12', 'RGS12']"
ClusterID:341,21,69,3," ['MAGED1', 'NDN', 'SALL2']"
ClusterID:73,56,855,3," ['ASAP2', 'ASAP3', 'ARHGEF3']"
ClusterID:708,50,231,3," ['HSDL1', 'SLC26A6', 'FAM189B']"
ClusterID:270,81,787,3," ['PARD3B', 'DLG3', 'DLG5']"
ClusterID:438,123,353,2," ['HS6ST1', 'GPC3']"
ClusterID:521,21,60,2," ['FMNL2', 'CAP2']"
ClusterID:180,34,126,2," ['AXIN2', 'ZNRF3']"
ClusterID:195,100,1204,2," ['TSPYL4', 'DYNC1I1']"
ClusterID:355,38,292,2," ['CD36', 'ITGA6']"
ClusterID:293,115,566,2," ['SLC26A2', 'SLC26A11']"
ClusterID:574,35,156,2," ['SEMA3G', 'PLXNC1']"
ClusterID:749,31,70,2," ['AACS', 'SQLE']"
ClusterID:416,34,74,2," ['PPOX', 'UGGT1']"
ClusterID:361,93,966,2," ['VPS33A', 'STXBP6']"
ClusterID:544,10,17,2," ['ARMC9', 'CRTAP']"
ClusterID:176,123,932,2," ['ZNF286A', 'ZNF14']"
