	Size	liver_PPI
ClusterID:1	1741	63933
ClusterID:2	1620	50961
ClusterID:3	1	0
ClusterID:4	1	0
ClusterID:5	1	0
ClusterID:6	1	0
ClusterID:7	1	0
ClusterID:8	1	0
ClusterID:9	1	0
ClusterID:10	1	0
ClusterID:11	3090	34051
ClusterID:12	1	0
ClusterID:13	666	7649
ClusterID:14	1448	47019
ClusterID:15	43	406
ClusterID:16	573	9707
ClusterID:17	485	5216
ClusterID:18	1	0
ClusterID:19	1101	35390
ClusterID:20	1	0
ClusterID:21	954	29250
ClusterID:22	1	0
ClusterID:23	1	0
ClusterID:24	1	0
ClusterID:25	2	1
ClusterID:26	1	0
