gene,adj_p-value,effect size
IGF2BP2,8.950245927925679e-29,1.522111169389573
SNX27,2.617560758289584e-25,1.4585891734228944
WASHC2A,5.589412315466155e-24,1.4061141963336659
CNOT8,4.9274994609534335e-24,1.403213782540609
PIGC,4.0118770605957416e-23,1.3992055534470653
RNF38,1.3189072880331207e-23,1.3839191854831199
NDRG3,2.903966254560088e-22,1.3799428781621037
CEP68,1.048867638211953e-21,1.3677160829077166
ABCC5,7.525062204084798e-22,1.3670496257001479
ITGA6,3.917434744581614e-21,1.3649833892525591
HIF1AN,2.2360144693064084e-21,1.3588973808875857
KCTD7,2.0448443652395394e-21,1.353511968835147
PBX2,2.3558299998376164e-21,1.342496487485597
CRTAP,1.4849242771084684e-21,1.3397993235965835
NAPB,5.8110117930533005e-21,1.3395913908137622
PIK3C2B,1.2507406472299455e-20,1.3369442601375254
USP46,1.6649166968254665e-20,1.3352155825067462
ZNF14,5.708063113148376e-21,1.3346132089305365
TRIB2,4.013374784873087e-20,1.332363547260378
BTN2A2,1.83656018083752e-20,1.3282331470024933
INTS9,1.5496323545612818e-20,1.3271376168475313
ZBTB40,4.7554353111020586e-20,1.3238472544570272
WASHC2C,2.284341812558e-21,1.3220464880107652
SLC26A2,5.3925394329645714e-20,1.3200639562928982
HSF2,5.2592756884997823e-20,1.3183119817339946
ANKRD27,3.4677946592998286e-20,1.315989063131936
TBC1D20,2.728940421932672e-20,1.313864749785331
WDSUB1,1.7672776117132704e-20,1.3132698402935368
CNOT6,8.700936063521631e-20,1.3132105848129947
C10orf88,3.117575163001955e-20,1.3131953244003947
DCLRE1B,6.021323847505598e-20,1.3113215821584017
AP2B1,5.129250388684133e-20,1.3112717549054091
TMEM98,1.2165402326243848e-20,1.3102875869535413
PRUNE1,1.4288036138402641e-19,1.3072311155349852
TULP3,1.0701321109198242e-20,1.3071487347936703
CCDC97,9.491280962244633e-20,1.3027185390430838
AGO1,5.3975581999827337e-20,1.3025527880448817
CSNK2A2,2.760976149686673e-20,1.3023390927659348
ZNF767P,5.532579791030934e-20,1.3007109660318288
PBXIP1,7.324158835823173e-20,1.300044162776209
MTHFSD,6.166260166465147e-20,1.2996517210194338
TRPC1,1.2793296445606629e-19,1.2992661804345114
STRIP1,1.430288490474773e-19,1.2979919396259538
ZNF610,4.547389937533055e-19,1.2974160504671288
ZNF200,2.0414072226979398e-20,1.2971837710538492
SLC4A1AP,2.4403909806926613e-19,1.2971805696969254
RASAL2-AS1,6.61033392556167e-20,1.2969122294495314
TRAF3IP2-AS1,9.00604301118175e-20,1.2952692537315786
BMF,3.5141227436854315e-19,1.295099816848993
JADE2,3.554188962959193e-19,1.293506664729813
LARP1,3.728861071588072e-20,1.292286813576992
MTERF4,2.174091409297607e-19,1.2921917102176965
DYNLL1,1.0177954114819533e-19,1.291746547063702
UBE2R2,3.798828623023398e-20,1.2900364331157774
PLXNC1,7.109322658383649e-19,1.2885591637368619
PRPF38A,5.925356376747284e-20,1.287966694756583
DPF2,3.242351224343251e-19,1.2867898043577388
ZSCAN26,2.0494968663780317e-19,1.285945251602149
DUSP22,2.529498695285896e-19,1.2858634554828023
STT3B,1.6106087357166151e-19,1.2857738468644069
NRBP1,4.588509551923246e-19,1.2854293877442222
CEP290,3.731127903487613e-19,1.2842023591993081
SLC41A3,1.389372382409731e-19,1.2837884178047916
KSR1,7.013886371646276e-19,1.283067936437057
GNPTAB,2.976649096327054e-19,1.281054804344035
ZBTB34,3.9537934862513343e-19,1.2798577889743805
IP6K1,2.4796851268251246e-19,1.2792566155805372
ACTR8,7.020847089493252e-19,1.2790853824258002
GNPAT,2.694746168032438e-18,1.2787531150039948
MARCKS,8.131561789712344e-20,1.2786135756880475
KDM3B,2.2113003195311316e-19,1.2782785705572004
RAB5B,4.296196252872173e-19,1.2773629795820183
SENP1,1.129093262036435e-18,1.2771215257302013
GGA3,2.621030916771135e-19,1.2770859917582187
MAP4K4,2.4029783137033585e-18,1.2763821468345593
FAM219B,1.3332143180617363e-18,1.2755883770124188
LSM11,4.807204700189485e-19,1.2742620960932283
ZNF792,1.2758120125658236e-18,1.2741840400351463
ZCCHC4,3.1484169592965185e-19,1.2739714935799384
RHOT1,2.910077689919653e-19,1.2729516897015039
WDFY1,6.864955742152218e-19,1.2721930211956174
VPS35,1.433274198201364e-18,1.2715737035059416
DUSP12,1.8994225258335964e-18,1.271361346779454
TAOK2,4.901986285708161e-19,1.2712668358542796
JARID2,1.1422380087536208e-18,1.2712586828129597
RFX7,1.7305099306198142e-18,1.271255310856733
EXD2,3.005050627756574e-19,1.2710721333446044
PIP4K2B,1.0532499483217535e-18,1.270706402647149
TSPAN3,1.4940271352007528e-18,1.269337615083348
GPR107,3.720219737247142e-19,1.267677171259056
DYNC1I2,1.6436652430960166e-18,1.2671968429894185
SLC38A6,3.642826409855407e-18,1.2665570858439463
TACC1,2.4363351278184077e-18,1.265247108334117
CASC3,2.7412531242503454e-18,1.2648243163025887
GDPD1,4.33954669792397e-18,1.2646269543840993
BTN2A1,1.4236854794477736e-18,1.2639084236983147
CCDC93,4.510558243316621e-18,1.2627688473604073
DNAJC13,1.2676598885978721e-18,1.2613505527709874
STX6,1.8453749801122416e-18,1.2604177055676586
SLC25A36,6.553763540102206e-18,1.2602577173191736
HEATR6,6.541499566118926e-18,1.260081094826099
