gene,t-statistic,adj_p-value,effect size
WTIP,4.502041518464736,2.3921686586366693e-05,0.8005107595468419
SH2B1,4.495403105376655,2.4073202695495504e-05,0.800727025597418
ZNF703,4.582976358616617,2.2129484456779236e-05,0.8011047409529372
DKK3,4.629013145629639,2.188950265000972e-05,0.8016712471300322
TMEM51-AS1,4.613769224076016,2.1714015955052454e-05,0.8018273762141568
RNF157,4.659312222126244,2.1914895769340377e-05,0.8022588222168939
AACS,4.629068130908015,2.1523850440635666e-05,0.8023078382538521
BCAS4,4.608958926366685,2.1413782918494914e-05,0.8023729459227887
SEMA3G,4.598173533159385,2.1289270942568652e-05,0.8026505060942247
LRRC66,4.605939113797595,2.0779925573081373e-05,0.80363511757069
SPAG8,4.549899689027955,2.1289557051426978e-05,0.8040329175837174
SALL2,4.658901017898617,2.0785339285283562e-05,0.8040987616472656
DLX6,4.678073289201998,2.096928119809278e-05,0.8042809066918076
SLX4,4.57452581283619,2.074454708981027e-05,0.8043016353075186
SLC26A2,4.585781570079464,2.0340750323495415e-05,0.8049199060946244
C9orf152,4.675830507299031,2.0196566183525493e-05,0.8055000269954143
PLAG1,4.6362614521705465,1.9850876713569097e-05,0.8055078932673566
TEX22,4.543988023716999,2.0845038113823547e-05,0.8056413725538687
ZNF646,4.544895831956895,2.0583339827437558e-05,0.8063407394002379
DNM1P35,4.54106199252899,2.0613590634069648e-05,0.806570171659289
DLG5,4.582920954091667,1.954942514640157e-05,0.8069848520114304
PLXNC1,4.5465909749368,2.009786456937737e-05,0.8076929100570435
PPT2,4.561940845501612,1.9466723483893234e-05,0.808408690638125
STXBP6,4.679288277391793,1.8573840833449887e-05,0.8085361778192035
LAMB4,4.522903819041907,2.0424215471879383e-05,0.8093186439159457
ASAP3,4.650044029515374,1.7932878493115567e-05,0.809631645676988
CUEDC1,4.5850375605052545,1.84656195019645e-05,0.8099264746882356
SOGA1,4.598666904092218,1.8105713150247386e-05,0.8102807430898574
LEF1,4.619754069379355,1.7658527493581597e-05,0.8107503016260336
SNORD112,4.68438810713612,1.7474947389141352e-05,0.8108538901844655
MIER2,4.5441172780672625,1.917764200783041e-05,0.8111787195813659
XYLT2,4.569779290023382,1.8413402345827528e-05,0.8111933654434015
PRR12,4.588288190193096,1.791371717089739e-05,0.8114381412557965
VPS33A,4.624329085121471,1.7315443733398874e-05,0.8115592607200129
CD36,4.687783014762118,1.7079705633452765e-05,0.8117514142020038
ATP8B2,4.616665261432973,1.7020917993315234e-05,0.8126887903492149
SP5,4.7430680233398785,1.6643220470154113e-05,0.8138835598816836
FMNL2,4.615571230587558,1.663549679355112e-05,0.8139455192268749
PARVB,4.6275452469891025,1.6335777380139148e-05,0.8143332173433582
ZNF14,4.599662769991872,1.6695967493747337e-05,0.8147598613557694
BBS12,4.642578028315402,1.6005403444095233e-05,0.8147970256249376
CLIP2,4.366842583915095,3.233020865681849e-05,0.8150253646188129
KCTD7,4.576660815573435,1.6896470780801708e-05,0.8162942982897546
HIF1AN,4.68648325886027,1.5204445896754452e-05,0.8163305371555891
TMEM88B,4.7479992293259015,1.546592036677193e-05,0.8164532096384918
KRBA1,4.674086215255424,1.494344210727423e-05,0.8172193753251266
FAM182B,4.649649362444475,1.5126785559966517e-05,0.8173281570442595
