gene,t-statistic,adj_p-value,effect size
TLN2,2.679774159479622,0.009141156393804573,0.5001111127827143
URM1,2.668888535498211,0.009337245251788428,0.500121304847506
RGL2,2.587128060676111,0.01123506152745766,0.5001601497592002
TSPAN13,2.6261363592388083,0.01023169769133911,0.5001618609914054
SORCS1,2.748895225283999,0.008160828198764038,0.5001660055839039
CSTL1,2.6426539578695434,0.009860756948426102,0.5001845079832433
UBE4B,2.644517019491798,0.009819416955315753,0.5002341446566871
PDPR,2.6605914551870278,0.009490241354738336,0.5002662006513519
OR2A4,2.7052010235237667,0.00871952382815429,0.5003019751785627
METTL22,2.6621771704079116,0.009457428730654931,0.5003209876859215
WRAP73,2.6827878534559564,0.009076915820049759,0.5003956579278057
HES5,2.6781945400646134,0.009155000369150417,0.5004529108683251
RPL7A,2.6909597629037676,0.008935652602535692,0.5004749710655435
TMED6,2.7336464250792405,0.008320115292911125,0.500480227504684
METTL3,2.6044517479273774,0.01076042318367278,0.5005034858038779
LHFPL2,2.7192022024173736,0.008507322350393587,0.5005131738372262
B4GALNT4,2.7538001905829974,0.008085299411659171,0.500521243231833
LANCL1,2.659105144842292,0.00950667455561564,0.5006365282738073
DENR,2.6668720061018734,0.009353165088090238,0.5007135500242389
CENPI,2.7506999588115235,0.008105472280858441,0.5007332506683417
TANC1,2.6428260679869973,0.009840370282706333,0.5007547086813247
PIGM,2.7099640179123554,0.008616374137661276,0.5009588206095443
DGKZ,2.62704015796409,0.010189283515762568,0.5010494617228572
RPLP0P2,2.5751901590771515,0.011573583338726877,0.5010750258696844
FLJ31104,2.627287363710225,0.010181508488561744,0.5011340621305301
NPTX1,2.732592657237637,0.008295935580225185,0.5011421414172932
PLK1,2.7576718804507196,0.007997598992847407,0.501256880998715
RTEL1,2.671696899043022,0.00923909782604492,0.5013487645425965
PTDSS2,2.698792167167728,0.008767133067184988,0.5014078480079763
IGSF9B,2.671779987184644,0.009235243203293591,0.5014120638557638
ZBTB11-AS1,2.6277484278907797,0.010162367962251735,0.501497156240091
KCTD15,2.7307932553206467,0.00829643302277401,0.5015554546475737
GSTM2,2.704648652734914,0.008665054476573581,0.5016274674789882
