gene,t-statistic,adj_p-value,effect size
C3P1,-9.598989765406209,5.480103244533448e-13,-1.4626598526591106
APOF,-9.372005352478283,1.1558752924763945e-12,-1.4458091229693428
SPTBN2,-9.267076343418813,1.1262251115703497e-12,-1.4347671014030146
OGDHL,-8.978212876929005,2.1132314262487777e-12,-1.4087138358869478
XDH,-8.715235120887606,8.490423689414111e-12,-1.391267853190653
PXMP2,-8.62836492919058,1.3790068962205017e-11,-1.385677711473208
GLT1D1,-8.722967152946998,4.009151309645899e-12,-1.3849488450822969
MFSD2A,-8.254992655163724,1.6689039542777535e-10,-1.3659631326667712
PPP1R1A,-8.369332564111438,1.4115414171650045e-11,-1.3536264158270288
ASPG,-8.105641373735246,1.6842474157948238e-10,-1.3469079063231175
UROC1,-8.168340990874867,7.130853052439027e-11,-1.345308514797875
C9,-8.077445762365668,1.903423018773765e-10,-1.3446176913210812
SLC1A1,-7.957419054426374,2.4534546786646315e-10,-1.3315458238297855
CYP11A1,-7.934234065083635,2.746571145800198e-10,-1.3297563644692412
LDHD,-8.001290874533773,6.83784296632129e-11,-1.3220643032075168
TFR2,-7.924263756465593,1.0834625884231367e-10,-1.3168878485967193
LRG1,-7.87199297429544,1.2538484735181441e-10,-1.3112577065019233
ADRA1A,-7.6795756525691035,3.767003438012528e-10,-1.2975863496775935
ACADL,-7.650421515128982,4.528329539260479e-10,-1.2957520242566951
GUCA2B,-7.531065213433455,1.5343393282072806e-09,-1.294846939041692
RDH16,-7.615167139263549,5.95934578041122e-10,-1.2942535242228563
SLC10A1,-7.614963679989113,5.456617766232711e-10,-1.2930146631884167
C1R,-7.752870747364491,1.1316322412177767e-10,-1.2922393053009336
VNN1,-7.6733028141945745,2.182175591963614e-10,-1.2891930160116643
F9,-7.489389925896665,1.273562721181137e-09,-1.2859701512211326
TRIM55,-7.606194689639838,3.408472324395802e-10,-1.2851606607089001
SLC22A1,-7.392244569047172,2.8969055952622436e-09,-1.2831063038484578
TTC36,-7.487271503118701,8.273263740089582e-10,-1.279476710002952
HAAO,-7.552096845276461,3.772609410932782e-10,-1.278238225724168
CYP1A2,-7.3954263671887706,1.9831701769734697e-09,-1.2780210625474921
