,t-statistic,p-value,effect size
1871,-9.598989765406209,5.480103244533448e-13,-1.4626598526591106
850,-9.372005352478283,1.1558752924763945e-12,-1.4458091229693428
16110,-9.267076343418813,1.1262251115703497e-12,-1.4347671014030146
11348,-8.978212876929005,2.1132314262487777e-12,-1.4087138358869478
18641,-8.715235120887606,8.490423689414111e-12,-1.391267853190653
13435,-8.62836492919058,1.3790068962205017e-11,-1.385677711473208
6047,-8.722967152946998,4.009151309645899e-12,-1.3849488450822969
9310,-8.254992655163724,1.6689039542777535e-10,-1.3659631326667712
12923,-8.369332564111438,1.4115414171650045e-11,-1.3536264158270288
1127,-8.105641373735246,1.6842474157948238e-10,-1.3469079063231175
18213,-8.168340990874867,7.130853052439027e-11,-1.345308514797875
1954,-8.077445762365668,1.903423018773765e-10,-1.3446176913210812
15092,-7.957419054426374,2.4534546786646315e-10,-1.3315458238297855
3663,-7.934234065083635,2.746571145800198e-10,-1.3297563644692412
8223,-8.001290874533773,6.83784296632129e-11,-1.3220643032075168
16865,-7.924263756465593,1.0834625884231367e-10,-1.3168878485967193
8679,-7.87199297429544,1.2538484735181441e-10,-1.3112577065019233
352,-7.6795756525691035,3.767003438012528e-10,-1.2975863496775935
126,-7.650421515128982,4.528329539260479e-10,-1.2957520242566951
6467,-7.531065213433455,1.5343393282072806e-09,-1.294846939041692
13799,-7.615167139263549,5.95934578041122e-10,-1.2942535242228563
15032,-7.614963679989113,5.456617766232711e-10,-1.2930146631884167
1786,-7.752870747364491,1.1316322412177767e-10,-1.2922393053009336
18389,-7.6733028141945745,2.182175591963614e-10,-1.2891930160116643
4968,-7.489389925896665,1.273562721181137e-09,-1.2859701512211326
17652,-7.606194689639838,3.408472324395802e-10,-1.2851606607089001
15101,-7.392244569047172,2.8969055952622436e-09,-1.2831063038484578
17843,-7.487271503118701,8.273263740089582e-10,-1.279476710002952
6507,-7.552096845276461,3.772609410932782e-10,-1.278238225724168
3669,-7.3954263671887706,1.9831701769734697e-09,-1.2780210625474921
6522,-7.388707629859873,1.7788402864157622e-09,-1.2753799399823518
8468,-7.314375597372329,1.6899143062911639e-09,-1.2628998899900508
9085,-7.343626058395951,1.1659643779287495e-09,-1.2619285261965794
6936,-7.247058554989651,3.1041758095355923e-09,-1.2614867408932091
6919,-7.247266552890176,3.0462360504758274e-09,-1.2612275591762394
15199,-7.369093253241926,7.698264925747367e-10,-1.2596883425582712
493,-7.181283987144581,5.301462659061606e-09,-1.259336511391435
5951,-7.208309082306356,3.6118052192188677e-09,-1.2576263657526885
5207,-7.250749123951225,2.182942670804418e-09,-1.2566018766820044
5261,-7.313348241637824,1.031401800051946e-09,-1.2551116725547913
4751,-7.241433346454142,2.1308449648317293e-09,-1.2547083222981148
6089,-7.138041920673535,5.816435145162644e-09,-1.2538291882905757
3012,-7.450994557417611,2.0344222410150945e-10,-1.2521528205088044
5378,-7.127278096066609,5.63856568323217e-09,-1.251572735576357
3716,-7.276344707577445,1.0277273664869577e-09,-1.2489231682849444
7923,-7.120263330811915,5.116863959685604e-09,-1.2488482654928665
3000,-7.131618389745342,4.268380745463014e-09,-1.2477769153833405
6931,-7.139518109588377,3.451010920183424e-09,-1.2456350342176388
524,-7.218135644573931,1.3207289726050025e-09,-1.2431908121739303
6058,-7.072672448362162,5.797696492494263e-09,-1.2430145569817521
15998,-7.1088144051855675,3.4711175734085396e-09,-1.2405964775072182
6173,-7.110078687089517,2.152999054981432e-09,-1.2328382158635176
1916,-7.056863873301249,3.6490404066928132e-09,-1.2326033327302979
14500,-7.113313386492963,1.7283265701004815e-09,-1.2296488066575628
16796,-7.013434809388938,4.4568274954277445e-09,-1.2285283425772706
489,-6.92957509104319,9.15670654689374e-09,-1.2264922105504472
527,-6.902004544775832,1.043409696896308e-08,-1.224006487410247
4137,-6.999505398515664,3.861009254766267e-09,-1.2236133938017428
17289,-6.985880585548192,3.7781869000087565e-09,-1.2208287994029592
803,-6.9892945875444115,3.048806367538198e-09,-1.2176220731467653
1944,-6.9494532065731365,3.7243742503729635e-09,-1.2140558445665417
47,-6.889504579385092,6.626624267826901e-09,-1.2137045536220652
3688,-6.79804911682171,1.5356310202342114e-08,-1.2126751323692242
15175,-7.0747922145934625,9.895853260697932e-10,-1.2124869406675725
6926,-6.720791581950324,2.6069597562225406e-08,-1.2087095677617847
15323,-6.839791241704912,7.0732448857163455e-09,-1.2059103839891245
