Expression,Study
232.03566969434735,Study A
175.7282331596464,Study A
152.4248695874092,Study A
15.34211116862374,Study A
0.28417131245242727,Study A
9.235100688013123,Study A
3437.585497491529,Study A
20775.205981171188,Study A
436.5192875675819,Study A
1030.5028871261254,Study A
63733.16900887646,Study A
5.111711303737471,Study A
123.39068557777203,Study A
11.53178412865228,Study A
54.24650469431577,Study A
288.5150498069108,Study A
2603.7569022575335,Study A
6.9136362234894735,Study A
1380.013477839346,Study A
43.38070761548157,Study A
57.27826344113426,Study A
24.7979165774052,Study A
1360.1992103289506,Study A
708.4604139542736,Study A
1.600343608643651,Study A
61.12537575676902,Study A
124.61389316555002,Study A
21.07935250147197,Study A
902.3208101185724,Study A
43.874944293454845,Study A
2.304814011148223,Study A
3.462567280057167,Study A
2.8891362417828557,Study A
70.51205133729096,Study A
2967.3384394971004,Study A
117.63662841637651,Study A
3.5891508765394033,Study A
53.378404063909365,Study A
141.9254419614128,Study A
37.65376329183767,Study A
12.115365106353007,Study A
42.0911429164249,Study A
120.1013360245605,Study A
93.83949705387887,Study A
304.141093364306,Study A
208.96333501717675,Study A
1495.495588946097,Study A
181.83703898049328,Study A
15.497423409715253,Study A
24.400832948907528,Study A
0.5870151361480631,Study A
217.22672932281372,Study A
42.921716721492444,Study A
132.93166853765945,Study A
113.92870577040765,Study A
2843.164528147773,Study A
814.3893095546459,Study A
17.402053985964226,Study A
7.387991715843654,Study A
16.567270808574243,Study A
45.543690179657695,Study A
672.8561999926309,Study A
50.07525673869335,Study A
35746.49931764267,Study A
18.500602879606507,Study A
5.622507427948582,Study A
1115.7412659178444,Study A
78.54292771211817,Study A
57.17933731752337,Study A
0.4338925167155466,Study A
15.354123031654062,Study A
442.9609340298871,Study A
1194.294815723326,Study A
124.82001271429132,Study A
21.52584284752132,Study A
14165.017831087102,Study A
2570.28860095448,Study A
12296.947447204328,Study A
2185.027050435958,Study A
1362.861309740251,Study A
8881.198956661705,Study A
45.06408738430105,Study A
33217.04141716412,Study A
267.4430169141019,Study A
11.33438929728834,Study A
679.9717955430937,Study A
37.78982416575754,Study A
104.2672167236106,Study A
79.3613494067185,Study A
23.121996649417294,Study A
982.4729360021405,Study A
597.3756471896612,Study A
10910.50275724206,Study A
19.699954407551655,Study A
4.452484650602359,Study A
43.12528815641061,Study A
20.622838482437118,Study A
80.85132774843032,Study A
46.53519698644789,Study A
67.90238595250702,Study A
1107.0407044477336,Study A
28.13480693174175,Study A
114.83479767389919,Study A
130.03171900100588,Study A
1562.517491094432,Study A
13.285096395244741,Study A
26.71740796292884,Study A
6.700667858096422,Study A
104.0388904009816,Study A
28.759798393949175,Study A
261.1391222754926,Study A
36.92821498403554,Study A
5.4675011284057025,Study A
3158.5592003088286,Study A
27.215045307544667,Study A
9.397435473436017,Study A
289.97436986098387,Study A
70.36833410213879,Study A
177.3077600816077,Study A
3.2289118126197214,Study A
1530.7484660145672,Study A
5.454927468461724,Study A
27.585534764391475,Study A
415.27886195293814,Study A
43.4950986239657,Study A
28.940151366384185,Study A
210.09713430126806,Study A
44.20194201374019,Study A
36.599942566824595,Study A
26.965976217358556,Study A
105.96852058310937,Study A
6.061678232527693,Study A
24.705112500495385,Study A
11.905909205184793,Study A
6.20661006237805,Study A
337.05346389714737,Study A
247.6318317794866,Study A
5.624011305369483,Study A
51.7856459489599,Study A
66.97839282564601,Study A
1267.7478142054952,Study A
1887.0801278505865,Study A
1410.7999410546906,Study A
175.8329766655961,Study A
20.27888750707367,Study A
2.6783119418368555,Study A
3194.9432197783863,Study A
17.687840367529223,Study A
5589.992829460987,Study A
33.93103373560906,Study A
14219.02502587496,Study A
1962.668817955504,Study A
7.779620720394706,Study A
333.3783650401927,Study A
7.600076307373345,Study A
6.547303515375394,Study A
16.194984054841758,Study A
155.19986538801956,Study A
22445.51699318108,Study A
154.0667888519604,Study A
20.21707748009753,Study A
65.7390836754085,Study A
3101.5366992735258,Study A
1231.2696289199007,Study A
311.0413718622105,Study A
0.6907050434560974,Study A
55.998245210566985,Study A
54.41030018828027,Study A
1299.1699673613894,Study A
1437.6865048650402,Study A
