	SLC10A1	CNDP1	ADH1C	NDST4	PLPPR4	HPGD	RDH16	ADCY8	CYP1A2	PNLIPRP2	IDO2	CPA5	LGSN	PNMT	BBOX1	ALDOB	SRD5A2	SULT4A1	STRA6	UGT1A7	SLC3A1	CA4	SLC22A1	HS6ST2	CYP1A1	GLS2	MOGAT2	PLPPR5	GLYAT	CYP2C19	HAO2	CYP11B1	CA7	ACADL	CPA6	SLC6A2	CYP2C8	CYP2A13	HS3ST4	ATP1A2	SLC7A3	SLC1A1	UGT1A3	TDO2	AKR1D1	VNN1	CPA2	NNMT	DPEP1	UGT1A4	GCK	CPA1	CYP2B6	CYP2A6	HS3ST5	CYP3A4	HSD11B1	SDS	CYP2A7	PLA2G2E	ASPG	XDH	RBP2	SLC22A12	UGT1A9	TAT
ATP11C	3.272274074725061e-07	3.433000079611905e-07	1.4672390225459426e-06	2.62373520051546e-07	2.222706803616318e-05	1.0554406980880494e-06	3.2457817348036525e-06	2.711193408140636e-08	6.511900838646521e-07	6.044164036042546e-06	3.871992423465866e-07	4.202184693465506e-07	2.2643512491453097e-07	7.752426132047106e-07	3.239897878222939e-07	6.668157232812915e-08	2.681935546755932e-07	1.792359751183356e-07	3.7191862111190983e-06	2.703318190070388e-07	2.5873864688287976e-06	3.772634465856924e-08	1.3589161598170252e-06	1.792359751183356e-07	6.511900838646532e-07	2.2643512491453097e-07	1.9718369074356383e-05	1.6553455354729514e-05	2.984970774476901e-07	7.223605934171052e-07	1.1463468690048916e-07	1.9337242584543152e-07	3.772634465856924e-08	4.236879119558856e-07	4.202184693465514e-07	3.51309819610231e-07	6.649128249714583e-07	6.633119595337077e-07	1.792359751183356e-07	2.98332948483163e-07	2.885521320401304e-07	2.095977653869188e-07	2.342823707789624e-07	3.871992423465866e-07	1.7047451346731284e-07	1.9822140174811208e-08	4.202184693465514e-07	7.621539598955439e-07	3.551271332918752e-07	2.561800891718961e-07	1.5840684149605828e-07	4.202184693465514e-07	6.633119595337077e-07	6.365495013299123e-07	1.792359751183356e-07	6.184130475423342e-07	1.4776048207629e-07	1.0662066374359716e-05	6.633119595337077e-07	0.0002631739526951	3.6612069335824525e-07	7.491969047310394e-08	3.7191862111190983e-06	7.852843768089488e-08	5.366892169856149e-07	1.6915669226704093e-07
FH	2.610585775278329e-05	2.7794727448071336e-05	1.8809094292372665e-06	4.820559020669081e-07	4.6859298021939413e-07	3.0439290215042323e-06	8.825358942286727e-07	9.92631563875857e-07	1.04817884355045e-06	7.86850022177315e-08	1.2516814727774649e-05	1.4502221478423676e-05	0.0001209671243021	1.2532974722564194e-06	3.058767502711632e-06	3.164400273568997e-06	4.520080601582554e-07	5.377023920222675e-07	6.765354224540035e-07	1.1149807376089517e-06	2.3521725427503597e-05	1.7009722883017588e-05	2.713677117658767e-06	5.377023920222675e-07	1.04817884355045e-06	0.0001209671243021	1.8264079203183882e-07	5.372391948786785e-08	6.434079613454348e-06	1.0605217304936604e-06	5.022391592188968e-05	2.105242891268714e-07	1.7009722883017588e-05	2.297775776963856e-05	1.4502221478423676e-05	3.1104189696634715e-05	1.1698974372868218e-06	1.0346162985510164e-06	5.377023920222675e-07	3.693060085083684e-05	5.135205855363044e-05	0.0012728270793911	1.4791148255586335e-06	1.2516814727774649e-05	7.107707874962278e-07	2.1446199268991075e-06	1.4502221478423676e-05	8.290838432323007e-07	1.2527007523329408e-05	1.3939573317132943e-06	3.0367530475177014e-06	1.4502221478423705e-05	1.0346162985510164e-06	9.953539354133996e-07	5.377023920222675e-07	1.322601378739191e-06	1.0664035834922809e-07	1.804711365375e-05	1.0346162985510164e-06	4.037089641325394e-07	0.0065076624927676	7.79344641482847e-06	6.765354224540035e-07	8.499308610913274e-06	1.1144657106206892e-06	9.987310965826852e-05
AGMAT	1.5207080870849514e-05	1.6381021782749207e-05	6.134433752815338e-05	1.933357371233678e-06	6.529220697065499e-07	0.0001770060933038	7.302040561525238e-06	5.531404759580714e-07	1.1713088519196397e-06	3.586573422983199e-07	1.017102679225572e-05	2.8727452290254207e-05	1.1713469684536176e-05	2.624569141714338e-05	8.267338443578093e-06	8.224138064489655e-06	1.2051473329329588e-06	2.099520262527028e-06	6.7923923151134725e-06	3.191947479294236e-06	4.809502595631496e-05	2.1059140655151613e-06	0.0001900138302519	2.099520262527028e-06	1.1713088519196397e-06	1.1713469684536176e-05	6.374913952848831e-07	3.7198747829550243e-08	5.569164715117597e-06	1.845363243056972e-06	1.1391947945073826e-05	6.018954271119244e-07	2.1059140655151613e-06	3.497020978361952e-07	2.8727452290254207e-05	6.308223331148237e-05	1.799707330364878e-06	1.1577464975920108e-06	2.099520262527028e-06	1.859920558952271e-05	8.324321282119448e-05	1.3247069753633932e-05	2.5412414941372798e-06	1.017102679225572e-05	1.6228579094756535e-06	8.912529082282673e-07	2.8727452290254207e-05	2.7565280374178068e-06	1.402967419696848e-05	2.975434495465549e-06	8.087922088009393e-06	2.8727452290254207e-05	1.1577464975920108e-06	1.14621092387719e-06	2.099520262527028e-06	1.8222375317083027e-06	2.1984768327199206e-07	3.969688559392286e-05	1.1577464975920108e-06	1.9401772274725687e-06	5.498588555064046e-06	0.0001348808590051	6.7923923151134725e-06	0.0001036430194582	3.04896484722486e-06	2.939355785487281e-05
HS2ST1	1.9206027216713223e-05	4.106110826972586e-07	3.3293337736643814e-06	0.0064583103743635	5.01508993578078e-07	5.272874425939747e-06	1.111534920289154e-06	6.145704107305876e-07	4.109180385715254e-05	2.763298155110787e-07	1.0107151162048402e-06	1.6119826531549528e-07	4.139973661447588e-07	1.1714525787312872e-05	1.149427081790276e-06	1.5641341396892509e-06	3.685510854130849e-05	0.0069299206032463	1.201684459823123e-06	1.3778364121919142e-05	7.605961012409414e-07	4.67373101146893e-06	2.599648992201953e-05	0.0069299206032463	4.109180385715254e-05	4.139973661447588e-07	4.694059011779269e-07	4.6096115099325854e-08	3.2991647247949576e-07	1.3792031577367433e-05	1.954632046675611e-06	2.321017783870633e-05	4.67373101146893e-06	4.78154624573831e-07	1.6119826531549528e-07	2.133175946134208e-05	2.4031775513419047e-05	4.2098024582006335e-05	0.0069299206032463	6.368459638966849e-07	6.306543545945554e-07	5.670465508350751e-07	2.0838459836546058e-05	1.0107151162048402e-06	1.2627415925570394e-05	3.478246754602805e-08	1.6119826531549528e-07	1.2943197549145865e-06	6.523278615813733e-07	1.2937938500544284e-05	8.518186598012184e-07	1.6119826531549528e-07	4.209802458200626e-05	4.01965763560044e-05	0.0069299206032463	2.204869577609696e-05	2.3702487171463216e-05	1.0422253911688066e-05	4.209802458200626e-05	4.849275742596629e-07	2.516230974690869e-07	3.296549236009133e-06	1.201684459823123e-06	1.2434297380514773e-06	1.3348019010242458e-05	9.513504141093096e-07
SLC22A1	5.5393332707768735e-05	3.1140145300469874e-05	9.206803036483327e-05	3.380883422123805e-05	4.9106695445622434e-06	0.0362186194634636	1.1250541909988448e-05	3.2191676943539687e-05	3.612821191428195e-05	9.4469201200811e-07	8.717750047015925e-05	1.632317957109047e-05	1.3192468986139197e-05	0.0035356944580782	0.0168811126109888	1.161975490696823e-05	7.16940852647813e-05	3.76112373852394e-05	1.093032877576049e-05	3.676821879499458e-05	2.0444841651699845e-05	9.306488552527578e-05	0.7031010184118859	3.7611237385239466e-05	3.612821191428195e-05	1.3192468986139197e-05	2.2905900937732925e-06	4.276524631871842e-07	5.262110219134583e-05	5.365451202372921e-05	1.56408227607322e-05	1.4515740043401336e-05	9.306488552527578e-05	3.5246702598508454e-05	1.632317957109047e-05	0.0017051521348911	5.228263504407749e-05	3.600884773335094e-05	3.7611237385239466e-05	3.1403763917312854e-05	3.073542568649682e-05	2.160214761624678e-05	2.913758614859945e-05	8.717750047015925e-05	0.000127365498392	1.5609510390088226e-06	1.632317957109047e-05	7.542712868239449e-05	2.3333258513559675e-05	3.408480165761682e-05	2.121850694854112e-06	1.632317957109047e-05	3.600884773335094e-05	3.504657542811506e-05	3.76112373852394e-05	5.230868912401898e-05	6.332936736732686e-06	3.332910171963123e-05	3.600884773335094e-05	1.2934120217308535e-05	2.358458850743964e-05	7.823653601083846e-05	1.093032877576049e-05	3.910029255413353e-05	6.103248020503868e-05	2.150119052555819e-05
SRD5A2	8.863913499277591e-05	2.590071034541232e-06	0.0001358709263221	4.009057619926432e-05	2.056803021373596e-06	0.0004071789063615	6.142910511142875e-05	2.2558220251817896e-06	0.0030293624284288	2.7321136653344683e-06	4.7957716042729104e-06	4.183267107254897e-07	5.591020754069501e-07	5.1362898250900256e-05	3.848939723337974e-06	5.543450299308161e-06	0.7012258834982855	4.412720208876479e-05	6.758438328149526e-05	0.0001287046450456	1.4174497921207674e-06	6.657544897055824e-06	5.933303608119827e-05	4.412720208876479e-05	0.0030293624284288	5.591020754069501e-07	2.639215238030053e-06	5.7018867282662296e-08	5.39057877506899e-06	0.0019347743203454	6.1609400040516246e-06	0.0013098626520409	6.657544897055824e-06	7.375415342943078e-06	4.183267107254897e-07	7.278850222907449e-06	0.0017210044147876	0.0031038770261605	4.412720208876479e-05	2.0421292719532537e-06	1.6989383299387782e-06	1.4962239087783262e-06	0.0001371706884702	4.7957716042729104e-06	0.0113742309345312	1.224059317810731e-07	4.1832671072549043e-07	5.0715126154056905e-05	3.2804380713367368e-06	0.0001424921325368	3.867593004816157e-07	4.183267107254897e-07	0.0031038770261605	0.0029390757405856	4.412720208876479e-05	0.0015369952929869	0.0002549599746062	1.0518833891160152e-05	0.0031038770261605	4.308710938778233e-06	4.6642638335443044e-07	2.518502224126457e-06	6.758438328149526e-05	6.494755258848766e-06	9.852542261831047e-05	1.1263749875249696e-06
CYP27B1	3.173046421653114e-07	7.251509011862231e-08	1.386575468132442e-07	4.531264838378623e-08	1.772872789401359e-07	1.2482347295089636e-07	7.7752962541352e-08	3.151461120833732e-09	2.1911157645457667e-06	2.4362066332354565e-07	2.444630404854777e-08	2.231471259210041e-08	1.5290192757075615e-08	5.1813583909148255e-08	2.831965898040829e-07	3.231524888066216e-08	4.041882748389462e-07	5.010358201692902e-08	8.547965995994023e-08	6.775332897169593e-08	1.1860306022599053e-07	3.279788881320078e-08	1.0288649644755635e-07	5.010358201692902e-08	2.1911157645457705e-06	1.5290192757075615e-08	1.423382196711205e-06	6.297473405890903e-08	1.0391522435651931e-06	1.4150833136476915e-06	5.206764909412761e-08	5.554303826965379e-08	3.279788881320078e-08	1.022677903739708e-06	2.231471259210041e-08	1.6678012414866634e-07	1.3015353375243563e-06	2.2449036209339795e-06	5.010358201692902e-08	1.870375806081829e-07	1.3399187985423838e-07	1.230144700764325e-07	5.190291527329423e-07	2.444630404854777e-08	1.4387754522706968e-07	1.2188639977592084e-08	2.231471259210041e-08	4.972255677068373e-08	7.555852249120324e-08	1.773050967998338e-07	5.726405643061521e-09	2.231471259210041e-08	2.2449036209339795e-06	2.11767215412288e-06	5.010358201692902e-08	1.184417062647412e-06	4.0693886607345126e-08	2.0024742241703561e-07	2.2449036209339795e-06	2.69206926821093e-06	2.3155820178050423e-08	2.6753929766647803e-08	8.547965995994023e-08	3.037247977991408e-07	1.990164339417881e-07	7.084917554149874e-08
SPR	8.947837165528271e-07	3.463426522197925e-06	4.45361449399266e-07	1.2924183540240788e-07	1.2748473586530757e-08	3.992852434461629e-07	5.30464938751766e-08	2.0372928550617083e-08	1.2046620473816575e-06	2.9637423704664504e-09	0.0003863836974102	6.441538251773339e-06	2.7238320517355918e-06	1.9944721486012e-06	1.1871048099626146e-06	6.7274043150728735e-06	1.1569840968137073e-07	1.4236681050708656e-07	5.2496182986559074e-08	1.238502893828526e-07	1.4596082245257925e-06	1.3829832033833096e-07	3.3519460586063062e-06	1.4236681050708656e-07	1.2046620473816575e-06	2.7238320517355918e-06	1.0879947094068854e-08	5.419829874285905e-09	1.715884401784238e-06	8.327244334042661e-07	2.0837236482512738e-07	1.9041046033145097e-08	1.382983203383307e-07	7.273506515113219e-08	6.441538251773339e-06	2.7669973656327133e-06	1.3264578750011822e-07	1.07824206269618e-07	1.4236681050708656e-07	1.217341790998437e-06	1.3322468459229813e-05	1.2016864386197609e-06	1.195722272822078e-07	0.0003863836974102	7.501353495974275e-08	1.0552592370469787e-07	6.44153825177335e-06	1.7490507352394598e-07	2.9919083727724483e-06	1.2861325651238086e-07	2.889222225328641e-07	6.44153825177335e-06	1.0782420626961839e-07	1.0397680639159785e-07	1.4236681050708656e-07	1.26163579173156e-07	1.1471877786992849e-08	3.786198164264424e-06	1.0782420626961839e-07	4.524077239426008e-08	4.775813213222567e-06	3.123637814844114e-06	5.2496182986559074e-08	1.0573308924397669e-06	1.666575809151242e-07	5.174499236805725e-05
MGAT4C	2.3676965701690346e-06	3.819377574839048e-07	1.9071792870216545e-06	0.000136463510555	2.90702194479143e-06	4.192070723937073e-06	3.633627872735802e-07	7.91100127671637e-08	2.1448726142057807e-06	7.267733049676791e-07	1.2742941533250263e-06	1.443562658584527e-07	9.391533084330957e-08	6.423936453082711e-06	7.868902572567555e-07	2.822283179361747e-07	3.4105774803731325e-06	1.5665582849560804e-05	3.5947521883337973e-07	0.000232823441	1.0256344430304918e-06	5.611816011956135e-07	7.354236245450002e-06	1.5665582849560804e-05	2.1448726142057807e-06	9.391533084330957e-08	6.272245552165456e-06	1.0240817899407234e-05	1.1219045520224269e-07	3.2418258804766173e-06	3.165166055985145e-07	9.977410157878868e-07	5.611816011956135e-07	1.0051055329645045e-07	1.443562658584527e-07	2.9702395056132584e-05	3.712853020374084e-06	2.1835709865916976e-06	1.5665582849560804e-05	3.8505055159877173e-07	4.702852637968541e-07	2.696917121496084e-07	0.0001598710469836	1.2742941533250263e-06	1.6337522620423385e-06	2.5948097456775887e-08	1.443562658584527e-07	2.7840393624088745e-06	1.6602740951752758e-07	0.0002068449067465	1.897230235132986e-06	1.443562658584527e-07	2.1835709865916976e-06	3.254871981931147e-06	1.5665582849560804e-05	5.395683638585944e-06	3.0670812584112685e-07	9.46062291751848e-07	2.1835709865916976e-06	7.095740456882105e-06	1.0948283481277293e-07	2.5038545791006783e-06	3.5947521883337973e-07	1.150256557929935e-06	0.0001043699449601	8.544812906037415e-07
MGAT5B	1.4989856574898554e-06	4.1376062703774857e-07	1.2845598935361852e-06	1.2977208647757755e-05	7.327571504532959e-05	3.775621994286563e-07	2.224276725857277e-07	1.6774360643240928e-07	3.871101125115674e-07	9.347681137053502e-06	5.923260246288221e-07	7.692048544460964e-07	4.375304095123169e-07	3.9466281711722953e-07	1.396154253815903e-07	2.018309579812617e-06	5.492471784873737e-07	9.87882759786589e-06	2.2221051713430785e-07	1.0137537481098738e-05	2.14762052680188e-05	3.686773415258631e-06	5.506508492351188e-07	9.87882759786589e-06	3.871101125115674e-07	4.375304095123169e-07	3.476207361799337e-06	4.734593047154256e-07	2.4231298189468053e-07	2.6296265243146705e-07	2.547254294962736e-06	3.8608269191297996e-07	3.686773415258631e-06	4.330170790007186e-07	7.692048544460964e-07	2.56112446539575e-06	6.718686099167119e-07	3.942815100785784e-07	9.87882759786589e-06	1.4683028605403234e-06	1.1191537193320678e-06	1.0511798063789331e-06	7.654670029601099e-06	5.923260246288221e-07	2.990919968881721e-07	2.659736152345529e-07	7.692048544460964e-07	1.861510304815257e-07	3.945205583272292e-07	9.05268300973348e-06	4.190513983023903e-05	7.692048544460964e-07	3.942815100785784e-07	4.44289915887749e-07	9.87882759786589e-06	7.174877769848613e-07	1.8991144173163363e-07	6.18904421787011e-07	3.942815100785784e-07	2.246876594593485e-06	3.806557190507101e-07	1.2032886016096727e-06	2.2221051713430785e-07	5.671856543532327e-07	4.59825435505395e-06	4.121147552285871e-07
