"","NT","NT","NT","T","T","T","T","T","T","T","T","T","T"
"A1BG",510.232994724929,56.48740004535,0.473981660508858,355.106049385933,37.7629023259338,7998.93391530392,198.86162197867,1212.89474423575,1000.26153851609,1817.63214040127,886.47953637004,177.36964566632,510.232994724929
"A1BG-AS1",0,0,0.947963321017715,10.4442955701745,0,2.40587530349768,0,0,4.51279737656708,1.44485861717112,1.03924916338809,5.5428014270725,0
"A1CF",4124.66495956444,207.12046683295,0.473981660508858,6.96286371344966,123.753125694627,2247.08753346684,41.7421800851453,7219.70963207222,717.986062611822,932.656237383958,425.052907825728,469.752420944395,4124.66495956444
"A2M",28671.0394717949,36270.7044086065,2259.94455730623,5222.14778508724,10314.2770569749,19695.0967032579,692.263570850276,37820.0761844376,2212.62455373084,13918.3230592094,6442.82518842446,2228.20617368315,28671.0394717949
"A2M-AS1",0,1.44839487295769,13.7454681547569,3.48143185672483,21.3838121604686,0.601468825874421,0.469013259383656,2.05924404793845,0,0,0,1.38570035676813,0
"A2ML1",3.37902645513198,7.24197436478846,1.89592664203543,3.48143185672483,5.91467144864024,1.80440647762326,0,0,5.18971698305214,0.72242930858556,0,4.15710107030438,3.37902645513198
"A2MP1",0,0,0,0,1.36492418045544,0,0,2.05924404793845,0,5.77943446868448,5.19624581694044,1.38570035676813,0
"A3GALT2",0,0,0,0,0,0,1.87605303753462,0,0.451279737656708,0,0,0,0
"A4GALT",24.7795273376345,0,221.349435457637,0,0,0.601468825874421,0,28.8294166711383,9.25123462196251,80.1896532529972,0,13.8570035676813,24.7795273376345
"A4GNT",0,0,0,0,0,0,0.469013259383656,0,0,2.16728792575668,0.519624581694044,0,0
"AAAS",1.12634215171066,55.0390051723923,128.923011658409,0,1.36492418045544,25.8631595126001,142.580030852631,39.1256369108306,190.214409422302,2.16728792575668,69.1100693653079,66.51361712487,1.12634215171066
"AACS",28.1585537927665,27.5195025861961,111.85967188009,156.664433552617,18.6539637995577,34.283723074842,6.09717237198752,0,76.7175554016404,1.44485861717112,61.8353252215913,108.084627827914,28.1585537927665
"AACSP1",0,0,0.473981660508858,0,0,0.601468825874421,0.938026518767311,0,0.451279737656708,0,2.59812290847022,0,0
"AADAC",36.0429488547411,2498.48115585202,17.0633397783189,10.4442955701745,0,347.047512529541,0,3327.73838146854,499.566669585976,2086.3758431951,30.6578503199486,85.9134221196238,36.0429488547411
"AADACL2",0,11.5871589836615,0,0,0,0,0,0,0,0,0,0,0
"AADACP1",0,288.230579718581,2.36990830254429,0,0,9.62350121399073,0,72.0735416778459,13.5383921297012,0.72242930858556,0,1.38570035676813,0
"AADAT",4.50536860684264,1277.48427794868,1.42194498152657,87.0357964181207,0,0,0.938026518767311,6.17773214381536,40.8408162579321,1.44485861717112,121.072527534712,19.3998049947538,4.50536860684264
"AAGAB",0,2.89678974591538,1426.68479813166,0,88.2650970027851,31.2763789454699,81.6083071327561,2.05924404793845,105.148178874013,0,60.7960760582032,23.5569060650581,0
"AAK1",325.512881844381,98.490851361123,1695.43239964018,177.553024692966,36.8529528722969,18.0440647762326,1755.98564313241,0,246.173096891734,162.546594431751,92.4931755415399,315.939681343133,325.512881844381
"AAMDC",2.25268430342132,0,0.473981660508858,13.9257274268993,9.0994945363696,232.166966787526,1.40703977815097,14.4147083355692,5.8666365895372,140.873715174184,8.83361788879875,11.085602854145,2.25268430342132
"AAMP",49.5590546752691,124.561959074361,27.4909363095137,281.995980394711,16.3790901654653,141.946642906363,89.5815325422782,94.7252262051688,325.598330719315,509.31266255282,295.146762402217,58.1994149842613,49.5590546752691
"AANAT",2.25268430342132,0,0,0,0,2.40587530349768,0.469013259383656,6.17773214381536,0,4.33457585151336,0,0,2.25268430342132
"AAR2",371.692910064518,0,60.6696525451338,0,125.5730246019,306.14763237008,78.7942275764541,6.17773214381536,28.656263341201,108.364396287834,151.210753272967,36.0282092759713,371.692910064518
"AARD",0,0,9.95361487068601,3.48143185672483,1.36492418045544,6.01468825874421,1.87605303753462,0,0.676919606485062,0,0,6.92850178384063,0
"AARS2",0,444.657225998011,1.42194498152657,0,0.90994945363696,27.0660971643489,17.8225038565789,4.11848809587691,20.0819483257235,21.6728792575668,96.1305476133982,30.4854078488988,0
"AARSD1",2.25268430342132,0,60.6696525451338,27.8514548537986,167.885674196019,495.610312520523,28.1407955630193,166.798767883015,74.4611567133568,108.364396287834,185.505975664774,37.4139096327394,2.25268430342132
"AASDH",191.478165790812,0,6.63574324712401,31.3328867105235,40.4927506868447,8.42056356224189,0,0,0.225639868828354,0,8.31399330710471,77.599219979015,191.478165790812
"AASDHPPT",167.824980604888,276.643420734919,70.6232674158198,69.6286371344966,9.55446926318808,11.427907691614,5.15914585322021,6.17773214381536,0.676919606485062,2.16728792575668,36.3737207185831,58.1994149842613,167.824980604888
"AASS",2035.30026814116,803.859154491519,8.53166988915944,727.619258055489,19.1089385263762,0,2.81407955630193,459.211422690275,40.8408162579321,244.181106301919,161.083620325154,56.8137146274932,2035.30026814116
"AATBC",1.12634215171066,0,7.58370656814172,10.4442955701745,0,0,0,0,0,0,11.951365378963,8.31420214060875,1.12634215171066
"AATF",23.6531851859239,5.79357949183077,25.1210280069695,17.4071592836241,106.009111348706,3.60881295524652,2.34506629691828,8.23697619175381,15.7947908179848,19.5055913318101,556.517926994322,18.0141046379856,23.6531851859239
"AATK",0,0,46.4502027298681,13.9257274268993,49.1372704963958,21.0514089056047,60.5027104604916,6.17773214381536,0.225639868828354,33.9541775035213,25.9812290847022,19.3998049947538,0
"ABALON",2.25268430342132,0,0.473981660508858,0,0,0,0,0,1.80511895062683,2.16728792575668,0,5.5428014270725,2.25268430342132
