Genes	ids
SLC22A13	0
ADH6	1
PYGL	2
PYGM	3
SLC7A2	4
ASRGL1	5
SLC5A10	6
PTGIS	7
CYP2A13	8
CA3	9
GUCY2C	10
SLC2A1	11
CYP1A1	12
PDXK	13
PLA2G10	14
AKR1B1	15
SLC23A2	16
TK2	17
B3GNTL1	18
SLC25A15	19
DEGS1	20
B3GLCT	21
AMT	22
AADAC	23
LIPE	24
DPYSL3	25
COX7A2L	26
NT5C3A	27
PLPP6	28
CYP2F1	29
B3GALT1	30
VNN2	31
HYAL3	32
NPR2	33
CHST1	34
GPD2	35
AGK	36
NDST4	37
IDI1	38
INPP4A	39
GALNT2	40
SLC6A20	41
HPGDS	42
NMRK1	43
ACOX3	44
GCNT7	45
SLC16A1	46
HPRT1	47
ASPA	48
HMOX1	49
GGTLC1	50
CERS2	51
SGPP1	52
ALOX15	53
NME6	54
RBP4	55
LIPC	56
CHST5	57
SLC6A3	58
SLC6A8	59
NDUFB9	60
SLC51A	61
PLCB2	62
ATP11A	63
GDA	64
PAH	65
PFAS	66
MGAT4D	67
GLUD2	68
SLC22A1	69
GAD2	70
PGS1	71
DBH	72
GALNT12	73
UCKL1	74
BTD	75
PDE5A	76
NME7	77
SLC6A14	78
B3GNT8	79
ACAD8	80
CYP11B1	81
SLC35A1	82
PLCH2	83
SYNJ1	84
PIK3R5	85
COMT	86
HMGCS1	87
IMPDH1	88
PNPLA2	89
AMPD3	90
CYTB	91
ADCY8	92
ACSM2A	93
CYB5R3	94
PRPS1L1	95
2974_AT1	96
POMGNT1	97
PAPSS2	98
INPP5J	99
CA2	100
AQP9	101
ENPP1	102
ATP1B4	103
PIGG	104
AMACR	105
MAGEA2B	106
SLC2A7	107
ECHDC2	108
SLC35C1	109
MTHFR	110
PCYT1B	111
GLT6D1	112
GUK1	113
GMPPB	114
MTHFD2L	115
PI4KA	116
UGT2B4	117
UQCR10	118
CHIT1	119
NME2	120
ST6GALNAC2	121
GUCY1A3	122
CYP2C19	123
RHCG	124
FUT11	125
CERS4	126
SMS	127
HAGHL	128
DCTPP1	129
GNPDA1	130
COX6B2	131
CYP17A1	132
DAGLB	133
ACSBG2	134
HEXB	135
SLC35D1	136
CSAD	137
SPR	138
FTMT	139
PDE3A	140
SLC5A5	141
AOC2	142
ALPI	143
GBA2	144
IDH3B	145
IMPA2	146
ISYNA1	147
AK5	148
CDS2	149
SC5D	150
PTGES	151
SLC18A2	152
