"",gene_symbol,GSM4575754,GSM4575755,GSM4575756,GSM4575757,GSM4575758,GSM4575759,GSM4575760,GSM4575761,GSM4575762,GSM4575763,GSM4575764,GSM4575765,GSM4575766,GSM4575767,GSM4575768,GSM4575769,GSM4575770,GSM4575771,GSM4575772,GSM4575773,GSM4575774,GSM4575775
ENSG00000000003,TSPAN6,3138,2185,2701,2403,2554,2049,2208,1787,2112,2311,3153,4554,2354,2460,2604,4845,2645,4413,5119,4238,4202,5275
ENSG00000000005,TNMD,2,0,14,2,0,2,9,0,0,0,1,2,0,1,0,2,0,0,1,4,0,1
ENSG00000000419,DPM1,749,657,674,694,696,704,490,735,599,814,951,730,655,547,861,1253,586,1522,1119,1045,1227,873
ENSG00000000457,SCYL3,567,471,504,508,522,461,749,285,533,468,924,720,721,423,689,986,566,1441,699,1021,927,907
ENSG00000000460,C1orf112,74,105,148,180,136,98,229,113,138,99,185,241,404,200,286,563,203,937,461,959,624,350
ENSG00000000938,FGR,255,197,541,739,254,383,344,664,284,610,377,534,548,145,648,1305,717,182,134,190,80,153
ENSG00000000971,CFH,62106,67719,41643,72013,76880,59970,55210,44582,42360,48599,46379,28227,39998,4609,32712,29287,21973,23505,8071,16358,26782,20455
ENSG00000001036,FUCA2,1317,1435,1689,1458,1546,1210,1077,1271,980,1454,1628,2472,1739,1175,2168,2334,1283,3904,4097,3726,5359,2617
ENSG00000001084,GCLC,6003,5622,5506,6546,5456,6858,2743,4556,5569,13372,3849,5499,2084,3351,1229,5556,3399,4112,3366,1488,1359,3960
ENSG00000001167,NFYA,682,666,889,599,484,562,559,707,495,844,618,1143,465,977,1072,1362,817,1770,1190,1463,1229,1459
ENSG00000001460,STPG1,100,81,74,92,50,75,62,65,62,64,80,143,95,47,329,225,103,192,140,246,140,99
ENSG00000001461,NIPAL3,273,153,242,117,234,156,189,95,135,155,255,404,193,116,392,381,184,467,503,517,231,500
ENSG00000001497,LAS1L,921,862,907,868,728,799,709,800,764,800,973,1112,1157,558,1556,1923,900,1644,1528,1136,1465,1252
ENSG00000001561,ENPP4,377,405,156,295,221,262,310,255,224,255,377,313,160,40,267,686,171,908,281,172,146,505
ENSG00000001617,SEMA3F,423,234,403,339,173,289,133,482,186,191,268,721,495,645,1304,1776,584,632,751,850,1293,923
ENSG00000001626,CFTR,162,122,623,346,137,933,56,383,189,160,516,48,43,1,8438,60,3,6,19,12,5,7
