"",gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
ENSG00000000003,TSPAN6,4.6859,153.7635,205.7017,1341.1579,1.1456,700.7419,10.1529,1718.5069,1388.4064,260.8583,306.2718,326.4486,13.9075
ENSG00000000005,TNMD,0,0,1.4543,0,0,0,0,0,0,0,0,0,2.2451
ENSG00000000419,DPM1,5.3471,311.4727,0,84.0683,0,176.8251,45.3853,72.3906,1.7455,49.4567,0,79.1816,8.298
ENSG00000000457,SCYL3,24.428,319.0251,97.543,93.5914,5.0495,126.914,56.7577,171.6208,31.308,53.6674,96.0653,95.5655,51.9883
ENSG00000000460,C1orf112,0.3122,17.2207,5.6348,218.3154,5.6915,54.1187,79.8355,139.4223,0,6.5418,3.4178,81.3408,47.9431
ENSG00000000938,FGR,0,16.8399,24.9542,63.7918,0,27.8396,399.6731,406.9729,77.5752,522.378,377.7429,30.8435,1.9457
ENSG00000000971,CFH,4077.9259,9950.6836,15930.6113,3641.2861,15.6312,847.3165,5644.4619,114.4677,3079.8572,15232.2111,469.745,109.1483,377.8528
ENSG00000001036,FUCA2,284.2183,59.7174,502.7419,87.6858,0.9372,3.0849,12.7201,17.0996,19.4584,580.4508,294.895,1201.6139,55.406
ENSG00000001084,GCLC,48.5746,221.2469,3236.2961,19.2577,0,21.4282,29.1636,45.5287,75.2219,531.6474,203.5708,194.9274,41.2899
ENSG00000001167,NFYA,0,313.9426,423.4062,14.5556,0,18.6743,78.7921,0.3264,1.7584,0,17.9347,223.0119,96.4007
ENSG00000001460,STPG1,32.9457,0,3.0399,4.7633,3.9835,46.8649,112.755,246.7229,3.9798,8.3342,52.4247,2.075,8.6495
ENSG00000001461,NIPAL3,1.1932,1.5548,15.885,4.9033,0.7882,81.5373,144.1217,558.7727,7.7929,39.4433,54.3575,0.3466,23.3254
ENSG00000001497,LAS1L,4.3852,717.2,0,3.5214,0,129.9246,522.7939,886.3924,1.3653,10.0094,479.777,247.0587,24.0754
ENSG00000001561,ENPP4,0.4038,93.9201,682.8261,61.1413,0,0,98.3907,18.1466,0,70.3082,69.5307,60.2107,18.2966
ENSG00000001617,SEMA3F,0,166.0126,27.2626,101.9266,0,0,257.1325,305.7109,0.7334,64.1425,3.4584,26.5143,19.455
ENSG00000001626,CFTR,0.2366,181.0928,26.1213,94.1277,1.6544,28.2279,209.9752,10.8018,576.7704,2132.4763,0,21.9543,410.7969
ENSG00000001629,ANKIB1,223.5427,1445.1856,27.7501,186.1324,263.8245,116.5033,9.0191,59.5418,390.102,1095.0921,3.3735,94.4497,268.2954
ENSG00000001630,CYP51A1,8455.2959,5680.1508,77.6229,285.629,145.8987,3327.3062,718.4718,76.667,853.2635,1692.5464,37.1136,638.0379,271.5439
ENSG00000001631,KRIT1,50.1627,471.7261,6.5205,416.8846,115.999,167.25,14.1498,77.279,115.4852,913.1442,66.7453,202.9588,97.5917
ENSG00000002016,RAD52,80.378,0,0,3.043,16.5348,75.0246,60.635,0.1278,0,202.8984,0.3782,264.3413,140.9163
ENSG00000002330,BAD,8.2398,1.5128,129.9606,3.3907,5.63,17.8622,0,2099.924,37.3759,227.1359,20.004,51.1012,16.0355
ENSG00000002549,LAP3,70.882,2033.7701,330.2978,344.802,0,494.1356,134.5577,788.5207,3.7471,559.6192,318.8602,160.0685,49.4647
ENSG00000002586,CD99,19.6411,444.4275,2.8288,4536.0227,0,555.9229,568.2412,3821.9421,1232.5541,829.1304,187.5655,655.3964,29.6953
ENSG00000002587,HS3ST1,0,67.7601,0.9784,13.3125,20.8899,608.0759,0.7046,11.9353,0,2020.9558,21.6257,0.9781,5.1504
