"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",31476.8863378336,-2.06562895729803,0.334697459587657,-6.1716302234348,6.75894283973864e-10,8.85116838425798e-09
"A1BG-AS1",70.4338059597911,0.00520414754278989,0.193339441752874,0.0269171540768273,0.978525811499682,0.984904786292007
"A1CF",8355.36788723105,-0.97739442772696,0.297528625642672,-3.28504333193404,0.00101966688534421,0.00302922835865377
"A2M",129106.056995117,-1.02578802197868,0.213286455776973,-4.80943817197335,1.51355101305449e-06,8.87823932445008e-06
"A2M-AS1",117.120613567174,-0.742643869645502,0.230983842827296,-3.21513340740793,0.00130383912253051,0.00377095415068786
"A2ML1",10.4740501825272,-0.696752228910925,0.317560618878545,-2.19407630382975,0.028229924481228,0.0561117335161682
"A2MP1",16.2376309534346,-0.987583240027419,0.364750212597495,-2.70756042332243,0.00677797312317617,0.0162205580518759
"A3GALT2",0.861730344516697,-1.12441891220421,0.50517372237708,-2.22580641549068,0.026027150915505,0.0523030367765026
"A4GALT",178.036215548381,0.571616317234017,0.323791360482292,1.76538471064387,0.0774991312268058,0.13222342310151
"A4GNT",7.34241806323059,0.628255283710295,0.58206280957183,1.07935994772187,NA,NA
"AA06",0,NA,NA,NA,NA,NA
"AAAS",938.23015115099,0.631718217137352,0.136637885752112,4.62330204877009,3.77679149584022e-06,2.01079767148918e-05
"AACS",490.829139729768,0.637673666601227,0.15557218219726,4.0988926014593,4.15131597263335e-05,0.000174054130952852
"AACSP1",3.12208900152387,0.107603826435993,1.07477286844914,0.100117736123412,NA,NA
"AADAC",9394.38146267854,-1.67426608832728,0.423264044858687,-3.95560669200301,7.63406682647994e-05,0.000299064161571772
"AADACL2",0.396643207724889,-0.853019435944796,0.961549050009127,-0.887130444293715,0.37500867490823,0.482085387673875
"AADACL3",0.0714043106696666,-0.769956034929631,2.93002856766206,-0.262781067538873,0.792719328758008,NA
"AADACL4",0.406681599493329,0.169545537497246,1.45082653107778,0.116861343424217,0.906969931679038,0.934568027327273
"AADACP1",191.360615805171,-1.93244526459078,0.360191047935049,-5.36505633793332,8.09239567131126e-08,6.44089409993914e-07
"AADAT",700.329983061938,-2.00623502065471,0.264487840759077,-7.58535823384864,3.31569677611545e-14,1.3190498940514e-12
"AAGAB",488.593527272204,-0.0792690895823422,0.102777263521165,-0.771270676670801,0.440546509439491,0.546679514952797
"AAK1",931.519761342559,-0.0791910609344528,0.13015897415785,-0.608417986134509,0.542910285385898,0.640600480495685
"AAMDC",295.831565040957,-0.610180371065694,0.115402816196405,-5.28739584679823,1.24069961175362e-07,9.43624069166658e-07
"AAMP",2263.37279684225,0.0758948229903486,0.0963449647009203,0.787740420331729,0.430848557308726,0.537198175786049
"AANAT",3.46483622604071,1.40709710402371,0.394033690659783,3.57100709248394,0.000355611264324229,0.00117749566661888
"AAR2",776.280732944729,0.00962742539668851,0.0851897789241976,0.113011508167606,0.910021431468075,0.936968997639602
"AARD",15.0648639619711,0.033084482944242,0.218693335363193,0.151282538579867,0.879752842941105,0.914676164027909
"AARS1",3261.89277723836,-0.117042396234619,0.104865712025882,-1.11611692681524,0.264372087552947,0.365136451963062
"AARS1P1",0,NA,NA,NA,NA,NA
"AARS2",428.090011285081,0.303674749348727,0.105613386628707,2.87534335411781,0.0040358835059317,0.0102623830389803
"AARSD1",694.764801004796,0.121842449695024,0.14523635816293,0.838925261113594,0.401511251281392,0.508166633249748
"AASDH",263.528734268598,0.156053251877177,0.0867932033787647,1.79798931024774,0.0721787017874398,0.124599965345182
"AASDHPPT",1248.16190357131,0.0512985166894643,0.0976840057686034,0.525147553950456,0.599480620343156,0.691171416008174
"AASS",1411.96454969071,-1.31148202306674,0.245640647522897,-5.33902689270712,9.34467838561794e-08,7.33455933437819e-07
"AATBC",24.1142254547757,-0.140899900647737,0.233970252645876,-0.602212884135296,0.547032440446731,0.644225372412038
"AATF",985.908898448315,0.240693870739636,0.145672927730954,1.65228964975687,0.0984755182467585,0.161877567342234
"AATK",167.63611571087,0.784172535829264,0.23693936693397,3.30959158866916,0.000934321923667148,0.00279448574270482
"ABALON",26.1369554851331,0.214838526120619,0.234053900862494,0.917901924851214,0.358670213843418,0.465595231882614
"ABAT",9950.49432107417,-2.07033391261808,0.29737569153796,-6.9620146216753,3.35440679160812e-12,7.8957300161957e-11
"ABCA1",5404.19931334799,-0.612438100608612,0.166268730119284,-3.6834232159543,0.000230122623526184,0.000800642515731896
"ABCA10",441.563734822211,-1.55120635892528,0.331020634944979,-4.68613190589496,2.78416862585057e-06,1.53257689080416e-05
"ABCA11P",90.4457315259458,0.650641441038038,0.152289450347557,4.27239995648508,1.93380321787967e-05,8.74210508754409e-05
"ABCA12",2.87086756793601,2.68538594532072,0.497398894586583,5.39885788759683,6.70664710738321e-08,5.44797871537578e-07
"ABCA13",38.2572748384568,-0.843407689118893,0.177503553530384,-4.75149749029968,2.01915666032411e-06,1.15196278819886e-05
"ABCA17P",6.12471025471386,-0.0250634834731659,0.544725177061011,-0.0460112448049352,0.963301287344491,0.974646188400652
"ABCA2",1355.83913658097,-0.308104024534345,0.187729740080031,-1.64121052105541,0.100753722493175,0.164927449505249
"ABCA3",155.132828716523,1.27500138793888,0.270924916909997,4.70610604030355,2.52493216767981e-06,1.40423116700762e-05
"ABCA4",91.6539659656584,0.0672754959663252,0.309624793569181,0.217280713184532,0.827989586713228,0.875451684945952
"ABCA5",1621.3883109845,-0.243906968080505,0.231696152404416,-1.05270184916483,0.292477660899143,0.395598346151974
"ABCA6",2580.73058481162,-1.75189001260701,0.341637540049818,-5.12792011191613,2.92960700532125e-07,2.04757179710313e-06
"ABCA7",300.516340219304,0.471613320864568,0.258945386121422,1.82128489689878,0.0685635610461109,0.119282551756133
"ABCA8",2501.46177308026,-1.18664449002874,0.35757516840228,-3.31858751638407,0.000904739665171615,0.00271262181794189
"ABCA9",1254.9868269062,-1.55944121406775,0.309804475253202,-5.03363036571124,4.81277255638698e-07,3.19198573963557e-06
"ABCA9-AS1",7.56192135885361,-0.00864016503092004,0.411590152034242,-0.020992156853649,0.983251912222674,0.988580098814409
"ABCB1",1625.89364558381,-1.21063107732193,0.327949092834589,-3.69152134820066,0.000222916682119836,0.000778589014644296
"ABCB10",1004.49285322403,0.110159963218702,0.124274039005777,0.886427801816122,0.375387043273406,0.482375190806282
"ABCB10P3",0.0416711339527496,-0.238583082529743,2.93006776916965,-0.0814257898879091,0.935103339839964,NA
"ABCB10P4",0,NA,NA,NA,NA,NA
"ABCB11",691.95516885482,-1.55176238637676,0.584382937837392,-2.65538619611196,NA,NA
"ABCB4",3169.62221498103,-1.73356656774867,0.287329585413028,-6.0333730174591,1.60572176961071e-09,1.91843782203652e-08
"ABCB5",43.1725829555081,-0.0595245834238382,0.196344374707568,-0.303164190532543,0.761764737402583,0.824622653319848
"ABCB6",973.096880354098,0.162070252309773,0.241712199627723,0.670509194651274,0.502533247076278,0.603964485449738
"ABCB7",656.225075576727,-0.205418912735792,0.107330232151645,-1.91389610008072,0.0556334328173545,0.100043212508093
"ABCB8",696.2422953079,-0.15861521415286,0.106192568453182,-1.49365644379145,0.13526543840902,0.210452090383535
"ABCB9",104.15443085857,0.981629769914706,0.188601186478015,5.20479106333264,1.94214996087258e-07,1.41055029559559e-06
"ABCC1",299.923671389381,0.707213795778247,0.21887836535851,3.23108131139353,0.00123322852082433,0.00358504970523771
"ABCC10",591.579231800359,-0.0244022894131009,0.117294932186678,-0.208042146051663,0.835196059436388,0.88125657329969
"ABCC11",84.6945160604006,-1.01702649115133,0.287796666020519,-3.53383694541765,0.000409573666407265,0.00133752063017394
"ABCC12",0.819966978513085,-0.198835188045665,0.841909825074694,-0.236171597151779,NA,NA
"ABCC13",4.40654146482152,-0.350917948796036,0.521833592866427,-0.672470982307689,0.501283907319743,0.602922448641532
"ABCC2",8828.18179815807,-0.983365368877922,0.326149748253603,-3.01507321144179,0.0025691723253182,0.00690557537600967
"ABCC3",3010.01761932559,-2.09574214251676,0.299437828513697,-6.99892245719013,2.57938561972662e-12,6.20373149215076e-11
"ABCC4",214.666155343654,0.258106692881329,0.217427317376705,1.18709413331971,0.235190492175136,0.332188515656016
"ABCC5",837.640954394958,1.23786703575212,0.149675294331105,8.27034976803697,1.33566583421451e-16,1.03838612512754e-14
"ABCC5-AS1",0.363160559536009,0.323854947465697,0.789890686416837,0.409999703800526,0.68180616482573,0.76024434691113
"ABCC6",1983.72587396073,-0.745129484177381,0.296997180445892,-2.50887729997535,0.0121115546606127,0.0269147588668757
"ABCC6P1",1095.30304535366,-0.0998673959479913,0.339847554047687,-0.293859393008837,0.768865348471214,0.830355020000779
"ABCC6P2",52.8915765351065,-0.0820646169711439,0.303427454420082,-0.270458772848975,0.78680732990481,0.844485879975126
"ABCC8",17.1540308833941,2.40073684296909,0.650726965420302,3.68931513606242,NA,NA
"ABCC9",1478.11780054373,-0.810839049736735,0.217379398317268,-3.73006391596184,0.0001914312025878,0.000680175333430325
"ABCD1",465.627419299725,0.356725052566983,0.138550185484097,2.57469920607163,0.0100327294448562,0.0228788094828528
"ABCD1P2",0.276910394366865,1.25597409802475,1.3231011603406,0.949265359045886,0.342485667248214,NA
"ABCD2",16.939085230972,1.59036304786494,0.380175151420736,4.18323775744329,2.87386558036841e-05,0.00012539936393074
"ABCD3",4863.88243545953,-0.906802691777694,0.179041187345749,-5.06477143734841,4.08890640205195e-07,2.76082460094511e-06
