"hgnc_symbol","transcript_biotype"
"AACS","nonsense_mediated_decay"
"AACS","protein_coding"
"AACS","processed_transcript"
"AACS","retained_intron"
"AATK","protein_coding"
"AATK","nonsense_mediated_decay"
"AATK","processed_transcript"
"ABCC5","protein_coding"
"ABCC5","nonsense_mediated_decay"
"ABCC5","retained_intron"
"ABCC5","processed_transcript"
"ADAMTS6","protein_coding"
"ADAMTS6","nonsense_mediated_decay"
"ADAMTS6","processed_transcript"
"ADAMTS6","retained_intron"
"ADRA2C","protein_coding"
"ANKRD65","protein_coding"
"AP1G2","protein_coding"
"AP1G2","retained_intron"
"AP1G2","processed_transcript"
"AP1G2","nonsense_mediated_decay"
"ARHGEF28","protein_coding"
"ARHGEF28","retained_intron"
"ARHGEF28","processed_transcript"
"ARHGEF3","protein_coding"
"ARHGEF3","nonsense_mediated_decay"
"ARHGEF3","processed_transcript"
"ARMC9","protein_coding"
"ARMC9","processed_transcript"
"ARMC9","retained_intron"
"ARMC9","nonsense_mediated_decay"
"ASAP2","protein_coding"
"ASAP2","retained_intron"
"ASAP2","processed_transcript"
"ASAP3","protein_coding"
"ASAP3","nonsense_mediated_decay"
"ASAP3","retained_intron"
"ASAP3","processed_transcript"
"ASPSCR1","protein_coding"
"ASPSCR1","nonsense_mediated_decay"
"ASPSCR1","retained_intron"
"ASPSCR1","processed_transcript"
"ATP10A","protein_coding"
"ATP10A","retained_intron"
"ATP10A","processed_transcript"
"ATP10A","nonsense_mediated_decay"
"ATP8B2","protein_coding"
"ATP8B2","retained_intron"
"ATP8B2","processed_transcript"
"AXIN2","protein_coding"
"AXIN2","retained_intron"
"BBS12","protein_coding"
"BCAM","protein_coding"
"BCAM","retained_intron"
"BCAM","nonsense_mediated_decay"
"BCAS4","protein_coding"
"BCAS4","nonsense_mediated_decay"
"BCAS4","processed_transcript"
"BMP4","protein_coding"
"BMP4","processed_transcript"
"C9orf152","processed_transcript"
"C9orf152","protein_coding"
"CAP2","protein_coding"
"CAP2","nonsense_mediated_decay"
"CCDC97","protein_coding"
"CD34","protein_coding"
"CD34","processed_transcript"
"CD36","protein_coding"
"CD36","processed_transcript"
"CD36","retained_intron"
"CD36","nonsense_mediated_decay"
"CDH16","protein_coding"
"CDH16","nonsense_mediated_decay"
"CDK5R1","protein_coding"
"CDK5R1","nonsense_mediated_decay"
"CEP250","protein_coding"
"CEP250","processed_transcript"
"CEP250","nonsense_mediated_decay"
"CEP250","retained_intron"
"CEP68","processed_transcript"
"CEP68","protein_coding"
"CFL1P1","processed_transcript"
"CFL1P1","transcribed_unprocessed_pseudogene"
"CHST15","protein_coding"
"CHST15","processed_transcript"
"CLIP2","protein_coding"
"CLIP2","retained_intron"
"CLUL1","protein_coding"
"CLUL1","processed_transcript"
"CLUL1","retained_intron"
"CPA6","processed_transcript"
"CPA6","nonsense_mediated_decay"
"CPA6","protein_coding"
"CPA6","retained_intron"
"CROCCP3","processed_transcript"
"CROCCP3","transcribed_unprocessed_pseudogene"
"CROCCP3","retained_intron"
"CRTAP","protein_coding"
"CRTAP","processed_transcript"
"CUEDC1","protein_coding"
"CUEDC1","retained_intron"
"CUEDC1","processed_transcript"
"DKK3","protein_coding"
"DKK3","processed_transcript"
"DKK3","retained_intron"
"DLG3","protein_coding"
"DLG3","retained_intron"
"DLG3","processed_transcript"
"DLG5","protein_coding"
"DLG5","retained_intron"
"DLG5","nonsense_mediated_decay"
"DLG5","processed_transcript"
"DLG5-AS1","lncRNA"
"DLG5-AS1","retained_intron"
"DLX6","protein_coding"
"DLX6","processed_transcript"
"DNM1P35","lncRNA"
"DPY19L1P1","unprocessed_pseudogene"
"DUSP26","protein_coding"
"DVL2","protein_coding"
"DVL2","retained_intron"
"DVL2","processed_transcript"
"DYNC1I1","protein_coding"
"DYNC1I1","processed_transcript"
"EDARADD","protein_coding"
"EDARADD","nonsense_mediated_decay"
"EGFR-AS1","lncRNA"
"EHMT2","processed_transcript"
"EHMT2","retained_intron"
"EHMT2","protein_coding"
"EID2B","protein_coding"
"EID2B","processed_transcript"
"EML6","nonsense_mediated_decay"
"EML6","protein_coding"
"EML6","processed_transcript"
"EML6","retained_intron"
"EPHB2","protein_coding"
"EPHB2","processed_transcript"
"FAM182B","lncRNA"
"FAM189B","protein_coding"
"FAM189B","retained_intron"
"FAM189B","nonsense_mediated_decay"
"FAM189B","processed_transcript"
"FAM217B","protein_coding"
"FAM217B","processed_transcript"
"FAM228B","processed_transcript"
"FAM228B","protein_coding"
"FAM228B","nonsense_mediated_decay"
"FAM3B","processed_transcript"
"FAM3B","protein_coding"
"FATE1","protein_coding"
"FBXL19","protein_coding"
"FBXL19-AS1","lncRNA"
"FBXO31","protein_coding"
"FBXO31","nonsense_mediated_decay"
"FBXO31","processed_transcript"
"FMNL2","protein_coding"
"FMNL2","retained_intron"
"FMNL2","processed_transcript"
"FOXRED2","protein_coding"
"FOXRED2","retained_intron"
"FUT2","protein_coding"
"FUT2","processed_transcript"
"GDPD1","nonsense_mediated_decay"
"GDPD1","protein_coding"
"GDPD1","retained_intron"
"GNA12","protein_coding"
"GNA12","processed_transcript"
"GNAL","protein_coding"
"GNAL","processed_transcript"
"GNG4","protein_coding"
"GNRHR2","processed_transcript"
"GNRHR2","transcribed_unitary_pseudogene"
"GPC3","processed_transcript"
"GPC3","protein_coding"
"GPR119","protein_coding"
"GREB1","protein_coding"
"GREB1","retained_intron"
"HDAC11","protein_coding"
"HDAC11","nonsense_mediated_decay"
"HDAC11","processed_transcript"
"HDAC11","retained_intron"
"HHIPL2","processed_transcript"
"HHIPL2","protein_coding"
"HIF1AN","protein_coding"
"HIF1AN","nonsense_mediated_decay"
"HIF1AN","processed_transcript"
"HIF1AN","retained_intron"
"HOXA4","protein_coding"
"HS6ST1","processed_transcript"
"HS6ST1","protein_coding"
"HSDL1","protein_coding"
"HSDL1","retained_intron"
"HSDL1","processed_transcript"
"HSF2BP","protein_coding"
"IGF2BP1","protein_coding"
"IGF2BP1","processed_transcript"
"IGF2BP1","retained_intron"
"IGF2BP2","protein_coding"
"IGF2BP2","processed_transcript"
"INPP5D","protein_coding"
"INPP5D","retained_intron"
"INPP5D","processed_transcript"
"INPP5D","nonsense_mediated_decay"
"ITGA6","protein_coding"
"ITGA6","retained_intron"
"KCNU1","protein_coding"
"KCNU1","nonsense_mediated_decay"
"KCNU1","processed_transcript"
"KCTD7","protein_coding"
"KCTD7","nonsense_mediated_decay"
"KRBA1","protein_coding"
"KRBA1","nonsense_mediated_decay"
"KRBA1","retained_intron"
"LAMA3","protein_coding"
"LAMA3","non_stop_decay"
"LAMA3","retained_intron"
"LAMA3","processed_transcript"
"LAMB4","protein_coding"
"LAMB4","processed_transcript"
"LAMB4","retained_intron"
"LEF1","protein_coding"
"LEF1","processed_transcript"
"LEF1","retained_intron"
"LEF1","nonsense_mediated_decay"
